Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
081150003000,Alagoas,Brasil,,,TERRA,1-JC-1A-AL,1JC 0001A AL,11/01/1958,23/06/1958,23/06/1958,"-09:56:11,366","-35:57:42,029","-09:56:11,366","-35:57:42,029",,,,3207.7,3207.7,,,52,SONDA CONVENCIONAL 40
081150003600,Alagoas,Brasil,,,TERRA,1-LP-1-AL,1LP 0001 AL,14/08/1958,09/02/1959,09/02/1959,"-10:04:12,917","-36:05:25,891","-10:04:12,917","-36:05:25,891",,,,3001,3001,,,66,SONDA CONVENCIONAL 40
081150004100,Alagoas,Brasil,,,TERRA,1-MD-1-AL,1MD 0001 AL,19/12/1958,28/06/1959,28/06/1959,"-09:41:16,964","-35:51:31,415","-09:41:16,964","-35:51:31,415",,,,3791,3791,,,102,SONDA CONVENCIONAL 60
081150003800,Alagoas,Brasil,,,TERRA,1-PA-1-AL,1PA 0001 AL,24/09/1958,20/12/1958,20/12/1958,"-09:26:49,434","-35:36:02,560","-09:26:49,434","-35:36:02,560",,,,2627.6,2627.6,,,67,SONDA CONVENCIONAL 59
081150003200,Alagoas,Brasil,,,TERRA,1-PC-1-AL,1PC 0001 AL,10/05/1958,07/08/1958,07/08/1958,"-09:13:00,343","-35:29:09,134","-09:13:00,343","-35:29:09,134",,,,2323.2,2323.2,,,13,SONDA CONVENCIONAL 59
081150004000,Alagoas,JA,JEQUIÁ,Petrosynergy,TERRA,3-JA-7-AL,3JA 0007 AL,26/11/1958,13/01/1959,13/01/1959,"-09:54:05,969","-35:59:45,425","-09:54:05,969","-35:59:45,425",,,,1562.2,1562.2,,,63,SONDA CONVENCIONAL 41
081150003300,Alagoas,SMC,SÃO MIGUEL DOS CAMPOS,Petrobras,TERRA,1-SMC-1-AL,1SMC 0001 AL,12/06/1958,28/11/1958,28/11/1958,"-09:49:02,448","-36:05:50,395","-09:49:02,448","-36:05:50,395",,,,3260,3260,,,121,SONDA CONVENCIONAL 60
081150003100,Alagoas,,,,TERRA,3-JA-4-AL,3JA 0004 AL,12/02/1958,04/04/1958,04/04/1958,"-09:55:00,658","-36:01:00,539","-09:55:00,658","-36:01:00,539",,,0,1900.9,1900.9,0,0,70,SONDA CONVENCIONAL 59
081150003400,Alagoas,,,,TERRA,4-JA-3-AL,4JA 0003 AL,23/06/1958,30/07/1958,30/07/1958,"-09:52:41,158","-35:57:35,026","-09:52:41,158","-35:57:35,026",,,0,1869,1869,0,0,75,SONDA CONVENCIONAL 41
081150003700,Alagoas,,,,TERRA,4-JA-5-AL,4JA 0005 AL,22/08/1958,18/09/1958,18/09/1958,"-09:54:16,060","-35:58:56,009","-09:54:16,060","-35:58:56,009",,,0,1850,1850,0,0,65,SONDA CONVENCIONAL 41
081150003900,Alagoas,,,,TERRA,4-JA-6-AL,4JA 0006 AL,07/10/1958,04/11/1958,04/11/1958,"-09:53:29,159","-36:00:25,736","-09:53:29,159","-36:00:25,736",,,0,1682,1682,0,0,79,SONDA CONVENCIONAL 41
140300005100,Amazonas,Brasil,,,TERRA,1-AD-1A-AM,1AD 0001A AM,29/08/1958,30/11/1958,30/11/1958,"-03:18:07,447","-57:05:17,515","-03:18:07,446","-57:05:17,515",,,3578,3578,3578,,,55,SONDA CONVENCIONAL 14
140300004500,Amazonas,Brasil,,,TERRA,1-AD-1-AM,1AD 0001 AM,30/06/1958,07/07/1958,07/07/1958,"-03:18:07,447","-57:05:17,515","-03:18:07,446","-57:05:17,515",,,776,776,776,,,55,SONDA CONVENCIONAL 14
140300005000,Amazonas,Brasil,,,TERRA,1-AM-1-AM,1AM 0001 AM,08/08/1958,10/01/1959,10/01/1959,"-03:17:07,653","-59:52:26,179","-03:17:07,653","-59:52:26,180",,,2247.8,2247.8,2247.8,,,24.2,SONDA CONVENCIONAL 25
140300003500,Amazonas,Brasil,,,TERRA,1-FA-1-AM,1FA 0001 AM,13/02/1958,28/01/1959,28/01/1959,"-02:14:51,393","-56:31:41,453","-02:14:51,394","-56:31:41,453",,,3872,3872,3872,,,23.2,SONDA CONVENCIONAL 35
