Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
081150380800,Alagoas,Brasil,,,TERRA,1-RCA-1-AL,1RCA 0001 AL,21/03/1993,28/03/1993,28/03/1993,"-10:01:48,996","-36:20:07,904","-10:01:48,996","-36:20:07,904",,,,738,738,,,117,SONDA CONVENCIONAL 93
081150381000,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-130-AL,7FU 0130 AL,23/04/1993,18/05/1993,18/05/1993,"-09:46:39,158","-36:08:00,908","-09:46:39,158","-36:08:00,908",,,,1615,1615,,,42,SONDA CONVENCIONAL 93
202660566200,Almada,Brasil,,,MAR,1-BAS-102-BA,1BAS 0102 BA,03/07/1993,01/09/1993,01/09/1993,"-14:46:24,681","-38:42:10,886","-14:46:24,681","-38:42:10,886",,,5200,5200,5195.82,,1801,14,DISCOVER SEVEN SEAS
202660566700,Almada,Brasil,,,MAR,1-BAS-88-BA,1BAS 0088 BA,24/07/1993,19/10/1993,19/10/1993,"-14:29:30,928","-38:55:37,805","-14:29:30,928","-38:55:37,805",,,4339,4339,,,55.4,27,PETROBRAS III
742810199200,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-26D-RJS,7AB 0026D RJS,05/02/1993,10/03/1993,10/03/1993,"-22:05:51,235","-39:54:49,787","-22:05:51,235","-39:54:49,787",,,2840,2840,2779.42,,599,28,
742810201100,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-27DA-RJS,7AB 0027DARJS,15/05/1993,09/06/1993,09/06/1993,"-22:06:30,656","-39:55:41,063","-22:06:30,656","-39:55:41,063",,,3323,3323,2896.98,,476,30,
742810201000,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-27D-RJS,7AB 0027D RJS,11/05/1993,14/05/1993,14/05/1993,"-22:06:30,656","-39:55:41,063","-22:06:30,656","-39:55:41,063",,,555,555,,,476,30,
742810201900,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-28D-RJS,7AB 0028D RJS,05/07/1993,24/07/1993,24/07/1993,"-22:06:30,757","-39:55:40,331","-22:06:30,757","-39:55:40,331",,,2982,2982,2851.31,,475,30,
742810202400,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-29D-RJS,7AB 0029D RJS,01/08/1993,18/08/1993,18/08/1993,"-22:05:43,561","-39:54:49,495","-22:05:43,561","-39:54:49,495",,,3288,3288,2935.28,,600,30,
742810203200,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-30DA-RJS,7AB 0030DARJS,03/09/1993,06/10/1993,06/10/1993,"-22:05:52,835","-39:54:48,718","-22:05:52,835","-39:54:48,718",,,3400,3400,2892.66,,600,30,
742810203100,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-30D-RJS,7AB 0030D RJS,12/09/1993,12/09/1993,12/09/1993,"-22:05:52,835","-39:54:48,718","-22:05:52,835","-39:54:48,718",,,670,670,,,600,30,
742810203900,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-31D-RJS,7AB 0031D RJS,14/10/1993,01/11/1993,01/11/1993,"-22:08:13,873","-39:55:01,006","-22:08:13,873","-39:55:01,006",,,3252,3252,2890.17,,600,22,
742810204000,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-32D-RJS,7AB 0032D RJS,19/10/1993,05/11/1993,05/11/1993,"-22:05:43,392","-39:54:50,507","-22:05:43,392","-39:54:50,507",,,3167,3167,2888.38,,593,30,
742810205100,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-33D-RJS,7AB 0033D RJS,10/12/1993,28/12/1993,28/12/1993,"-22:08:34,575","-39:55:32,102","-22:08:34,575","-39:55:32,102",,,2965,2965,2874.95,,525,22,
742810204700,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-34D-RJS,7AB 0034D RJS,14/11/1993,05/12/1993,05/12/1993,"-22:05:43,728","-39:54:48,484","-22:05:43,728","-39:54:48,484",,,3393,3393,2996.61,,602,30,
742810204400,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-35D-RJS,7AB 0035D RJS,10/11/1993,28/11/1993,28/11/1993,"-22:08:13,573","-39:55:02,193","-22:08:13,573","-39:55:02,193",,,3210,3210,2933.61,,600,22,
742810204800,Campos,ABL,ALBACORA LESTE,Petrobras,MAR,4-RJS-477A-RJS,4RJS 0477A RJ,22/11/1993,15/12/1993,15/12/1993,"-22:06:48,835","-39:51:17,306","-22:06:48,835","-39:51:17,306",,,2944,2944,2943.86,0,1107,12,S. C. LANCER
742810201200,Campos,ABL,ALBACORA LESTE,Petrobras,MAR,4-RJS-477-RJS,4RJS 0477 RJ,19/05/1993,02/08/1993,02/08/1993,"-22:06:49,776","-39:51:18,009","-22:06:49,776","-39:51:18,009",,,2415,2415,2415,0,1109,12,S. C. LANCER
742810199800,Campos,BJ,BIJUPIRÁ,Shell Brasil,MAR,3-BJ-1-RJS,3BJ 0001 RJS,03/03/1993,16/03/1993,16/03/1993,"-22:38:15,085","-40:26:04,762","-22:38:15,085","-40:26:04,762",,,3063,3063,3062.8,,655,12,PARAGON DPDS1 (NOBLE PHOENIX)
742810199100,Campos,BJ,BIJUPIRÁ,Shell Brasil,MAR,3-BJ-2-RJS,3BJ 0002 RJS,04/02/1993,24/02/1993,24/02/1993,"-22:37:51,801","-40:23:56,048","-22:37:51,801","-40:23:56,048",,,3090,3090,3089.93,,713,12,PARAGON DPDS1 (NOBLE PHOENIX)
742810202900,Campos,BJ,BIJUPIRÁ,Shell Brasil,MAR,3-BJ-4-RJS,3BJ 0004 RJS,02/09/1993,14/09/1993,14/09/1993,"-22:40:31,911","-40:24:43,748","-22:40:31,911","-40:24:43,748",,,3255,3255,3254.71,,797,12,PARAGON DPDS1 (NOBLE PHOENIX)
742810202100,Campos,BJ,BIJUPIRÁ,Shell Brasil,MAR,3-BJ-5-RJS,3BJ 0005 RJS,13/07/1993,02/08/1993,02/08/1993,"-22:40:26,516","-40:21:58,043","-22:40:26,516","-40:21:58,043",,,3227,3227,3226.79,,868,12,PARAGON DPDS1 (NOBLE PHOENIX)
742810200600,Campos,BM-C-8,POLVO,Petro Rio O&G,MAR,1-RJS-486A-RJS,1RJS 0486A RJ,15/04/1993,24/06/1993,24/06/1993,"-23:06:09,280","-40:59:40,352","-23:06:09,280","-40:59:40,352",,,3000,3000,2999.85,0,102,27,PETROBRAS XXIII
742810200300,Campos,BM-C-8,POLVO,Petro Rio O&G,MAR,1-RJS-486-RJS,1RJS 0486 RJ,07/04/1993,09/04/1993,09/04/1993,"-23:06:08,800","-40:59:39,711","-23:06:08,800","-40:59:39,711",,,201,201,201,0,102,27,PETROBRAS XXIII
742810198900,Campos,BR,BARRACUDA,Petrobras,MAR,1-RJS-401-RJS,1RJS 0401 RJ,22/01/1993,07/02/1993,07/02/1993,"-22:32:22,670","-40:15:02,778","-22:32:22,670","-40:15:02,778",,,3083,3083,3082.91,0,788,30,
742810200900,Campos,BR,BARRACUDA,Petrobras,MAR,3-BR-2-RJS,3BR 0002 RJS,04/05/1993,18/05/1993,18/05/1993,"-22:32:03,437","-40:17:49,739","-22:32:03,437","-40:17:49,739",,,3142,3142,3141.33,,687,12,PARAGON DPDS1 (NOBLE PHOENIX)
742810203800,Campos,BR,BARRACUDA,Petrobras,MAR,3-BR-6-RJS,3BR 0006 RJS,10/10/1993,26/10/1993,26/10/1993,"-22:36:05,123","-40:16:00,366","-22:36:05,123","-40:16:00,366",,,3058,3058,3057.7,0,882,12,PARAGON DPDS1 (NOBLE PHOENIX)
742810202200,Campos,BR,BARRACUDA,Petrobras,MAR,3-BR-7-RJS,3BR 0007 RJS,26/07/1993,14/08/1993,14/08/1993,"-22:36:56,734","-40:11:39,921","-22:36:56,734","-40:11:39,921",,,3170,3170,3169.69,,1015,14,PARAGON DPDS3 (NOBLE ROGER EASON)
