Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
081150112800,Alagoas,Brasil,,,TERRA,4-FRIA-3-AL,4FRIA0003 AL,09/12/1977,12/01/1978,12/01/1978,"-09:51:45,959","-36:11:59,068","-09:51:45,959","-36:11:59,068",,,,2048,2048,,,113,SONDA CONVENCIONAL 40
081150111000,Alagoas,CSM,CIDADE DE SÃO MIGUEL DOS CAMPOS,Petrobras,TERRA,3-CSMC-6-AL,3CSMC0006 AL,14/10/1977,27/12/1977,27/12/1977,"-09:48:01,743","-36:07:23,028","-09:48:01,743","-36:07:23,028",,,,2724,2724,,,128,SONDA CONVENCIONAL 50
081150103700,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-39-AL,7FU 0039 AL,08/01/1977,08/02/1977,08/02/1977,"-09:46:03,138","-36:07:32,685","-09:46:03,138","-36:07:32,685",,,,1840,1840,,,14,
081150104700,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-40-AL,7FU 0040 AL,15/02/1977,07/03/1977,07/03/1977,"-09:45:51,271","-36:09:19,807","-09:45:51,271","-36:09:19,807",,,,1515,1515,,,15,SONDA CONVENCIONAL 26
081150105300,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-41-AL,7FU 0041 AL,02/03/1977,11/04/1977,11/04/1977,"-09:45:16,339","-36:08:16,816","-09:45:16,339","-36:08:16,816",,,,1995,1995,,,138,
081150105400,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-42-AL,7FU 0042 AL,07/03/1977,31/03/1977,31/03/1977,"-09:44:53,717","-36:08:19,137","-09:44:53,717","-36:08:19,137",,,,1692,1692,,,131,
081150107200,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-43-AL,7FU 0043 AL,17/05/1977,16/06/1977,16/06/1977,"-09:45:55,095","-36:08:08,415","-09:45:55,095","-36:08:08,415",,,,1822,1822,,,14,SONDA CONVENCIONAL 26
081150108600,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-44D-AL,7FU 0044D AL,10/07/1977,17/08/1977,17/08/1977,"-09:45:49,517","-36:08:38,018","-09:45:49,517","-36:08:38,018",,,,1731,1522.08,,,19,SONDA CONVENCIONAL 26
081150110200,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-45-AL,7FU 0045 AL,06/09/1977,24/11/1977,24/11/1977,"-09:45:32,312","-36:09:11,676","-09:45:32,312","-36:09:11,676",,,,1637,1637,,,57,SONDA CONVENCIONAL 26
081150111800,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-46-AL,7FU 0046 AL,03/11/1977,22/11/1977,22/11/1977,"-09:46:36,068","-36:10:27,516","-09:46:36,068","-36:10:27,516",,,,1320,1320,,,140,
081150112900,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-47D-AL,7FU 0047D AL,12/12/1977,02/03/1978,02/03/1978,"-09:46:04,507","-36:07:51,112","-09:46:04,507","-36:07:51,112",,,,1953,1827.23,,,12,SONDA CONVENCIONAL 26
081150103800,Alagoas,SMC,SÃO MIGUEL DOS CAMPOS,Petrobras,TERRA,7-SMC-12-AL,7SMC 0012 AL,14/01/1977,18/02/1977,18/02/1977,"-09:50:16,259","-36:05:55,886","-09:50:16,259","-36:05:55,886",,,,1675,1675,,,109.59999,
081150111600,Alagoas,SMC,SÃO MIGUEL DOS CAMPOS,Petrobras,TERRA,7-SMC-13-AL,7SMC 0013 AL,28/10/1977,18/11/1977,18/11/1977,"-09:50:05,177","-36:05:47,204","-09:50:05,177","-36:05:47,204",,,,1600,1600,,,107.5,SONDA CONVENCIONAL 40
081150111700,Alagoas,SMC,SÃO MIGUEL DOS CAMPOS,Petrobras,TERRA,7-SMC-14-AL,7SMC 0014 AL,29/10/1977,18/11/1977,18/11/1977,"-09:50:30,856","-36:05:57,752","-09:50:30,856","-36:05:57,752",,,,1623,1623,,,104.5,SONDA CONVENCIONAL 41
081150112400,Alagoas,SMC,SÃO MIGUEL DOS CAMPOS,Petrobras,TERRA,7-SMC-14D-AL,7SMC 0014D AL,24/11/1977,20/12/1977,20/12/1977,"-09:50:30,967","-36:05:57,907","-09:50:30,967","-36:05:57,907",,,,1637,1601.9,,,104.5,SONDA CONVENCIONAL 41
202660305600,Almada,Brasil,,,MAR,1-BAS-36-BA,1BAS 0036 BA,20/05/1977,27/07/1977,27/07/1977,"-14:40:12,448","-39:03:07,071","-14:40:12,448","-39:03:07,071",,,2242,2242,2235.82,,11,24,PETROBRAS I
140300034600,Amazonas,Brasil,,,TERRA,1-PC-2-AM,1PC 0002 AM,18/01/1977,29/03/1977,29/03/1977,"-03:14:37,488","-59:34:45,442","-03:14:37,490","-59:34:45,443",,,1749,1749,1749,,,24.5,SONDA CONVENCIONAL 44
140300034800,Amazonas,Brasil,,,TERRA,1-PE-3-AM,1PE 0003 AM,13/04/1977,08/06/1977,08/06/1977,"-03:01:35,601","-59:23:00,239","-03:01:35,602","-59:23:00,240",,,1688.5,1688.5,1688.5,,,82,
202450309100,Camamu,,JIRIBATUBA (Licitado),,TERRA,7-JI-10-BA,7JI 0010 BA,09/09/1977,07/10/1977,07/10/1977,"-13:03:45,363","-38:47:32,583","-13:03:45,363","-38:47:32,583",,,1343.2,1343.2,1343.2,0,0,12.1,SONDA CONVENCIONAL 27
202450312200,Camamu,,JIRIBATUBA (Licitado),,TERRA,7-JI-11-BA,7JI 0011 BA,23/11/1977,29/11/1977,29/11/1977,"-13:04:13,312","-38:47:36,196","-13:04:13,312","-38:47:36,196",,,576,576,576,0,0,7.2,SONDA CONVENCIONAL 27
742810013800,Campos,BD,BADEJO,Trident Energy,MAR,1-RJS-43A-RJS,1RJS 0043A RJ,30/08/1977,09/11/1977,09/11/1977,"-22:44:24,513","-40:52:13,707","-22:44:24,513","-40:52:13,707",,,3534,3534,3534,0,99,21,
742810013700,Campos,BD,BADEJO,Trident Energy,MAR,1-RJS-43-RJS,1RJS 0043 RJ,27/08/1977,29/08/1977,29/08/1977,"-22:44:24,225","-40:52:13,422","-22:44:24,225","-40:52:13,422",,,150,150,150,0,100,20,
742810012000,Campos,BD,BADEJO,Trident Energy,MAR,3-BD-3-RJS,3BD 0003 RJS,22/03/1977,10/06/1977,10/06/1977,"-22:43:06,408","-40:50:48,402","-22:43:06,408","-40:50:48,402",,,3157,3157,3157,,92,28,
742810013400,Campos,BG,BAGRE,Petrobras,MAR,3-BG-2-RJS,3BG 0002 RJS,27/07/1977,09/09/1977,09/09/1977,"-22:25:17,835","-40:28:30,981","-22:25:17,835","-40:28:30,981",,,3355,3355,3355,,115,12,
742810012300,Campos,BI,BICUDO,Trident Energy,MAR,4-RJS-39A-RJ,4RJS 0039A RJ,21/05/1977,01/09/1977,01/09/1977,"-22:46:24,960","-40:43:12,495","-22:46:24,960","-40:43:12,495",,,2600,2600,2600,,118,11,
742810012200,Campos,BI,BICUDO,Trident Energy,MAR,4-RJS-39-RJ,4RJS 0039 RJ,14/05/1977,16/05/1977,16/05/1977,"-22:46:25,814","-40:43:11,735","-22:46:25,814","-40:43:11,735",,,140,140,140,,118,10.69999,
742810011600,Campos,BO,BONITO,Trident Energy,MAR,4-RJS-38-RJ,4RJS 0038 RJ,13/03/1977,20/05/1977,20/05/1977,"-22:42:36,032","-40:39:12,986","-22:42:36,032","-40:39:12,986",,,2850,2850,2850,,189,27,
742810013200,Campos,Brasil,,,MAR,1-RJS-36-RJ,1RJS 0036 RJ,18/04/1977,20/06/1977,20/06/1977,"-22:21:06,751","-40:53:26,811","-22:21:06,751","-40:53:26,811",,,3552,3552,3552,,56,28,
742810013300,Campos,Brasil,,,MAR,1-RJS-48A-RJ,1RJS 0048A RJ,11/07/1977,18/09/1977,18/09/1977,"-22:18:20,792","-40:56:50,035","-22:18:20,792","-40:56:50,035",,,3545,3545,3545,,50,26,
742810013100,Campos,Brasil,,,MAR,1-RJS-48-RJ,1RJS 0048 RJ,30/06/1977,01/07/1977,01/07/1977,"-22:18:20,824","-40:56:50,036","-22:18:20,824","-40:56:50,036",,,151,151,151,,50,23,
742810015400,Campos,Brasil,,,MAR,1-RJS-51-RJ,1RJS 0051 RJ,20/12/1977,24/02/1978,24/02/1978,"-22:08:58,660","-40:53:42,744","-22:08:58,660","-40:53:42,744",,,3535,3535,3535,,43,22,
742810014000,Campos,CH,CHERNE,Petrobras,MAR,1-RJS-46-RJ,1RJS 0046 RJ,22/09/1977,04/11/1977,04/11/1977,"-22:28:40,062","-40:30:49,780","-22:28:40,062","-40:30:49,780",,,3343.9,3343.9,3343.9,,125,28,
742810015200,Campos,CH,CHERNE,Petrobras,MAR,1-RJS-50-RJ,1RJS 0050 RJ,19/12/1977,05/02/1978,05/02/1978,"-22:27:15,986","-40:28:24,432","-22:27:15,986","-40:28:24,432",,,3225,3225,3225,,132,19,
742810011500,Campos,CH,CHERNE,Petrobras,MAR,4-RJS-34-RJ,4RJS 0034 RJ,03/03/1977,04/05/1977,04/05/1977,"-22:27:36,738","-40:27:15,427","-22:27:36,738","-40:27:15,427",,,3312,3312,3312,0,149,20,
742810011400,Campos,EN,ENCHOVA,Trident Energy,MAR,3-EN-2-RJS,3EN 0002 RJS,01/03/1977,11/07/1977,11/07/1977,"-22:41:34,591","-40:41:23,146","-22:41:34,591","-40:41:23,146",,,4025,4025,4025,,121,16,
742810012500,Campos,EN,ENCHOVA,Trident Energy,MAR,3-EN-3-RJS,3EN 0003 RJS,27/05/1977,01/06/1977,01/06/1977,"-22:42:25,167","-40:42:04,381","-22:42:25,165","-40:42:04,381",,,218,218,218,0,118.6,25,
742810012900,Campos,EN,ENCHOVA,Trident Energy,MAR,3-EN-4D-RJS,3EN 0004D RJS,21/06/1977,25/08/1977,25/08/1977,"-22:42:18,453","-40:40:36,451","-22:42:18,453","-40:40:36,451",,,2868,2868,2745.15,,111,31,
742810010600,Campos,GP,GAROUPA,Petrobras,MAR,7-GP-6-RJS,7GP 0006 RJS,17/01/1977,07/02/1977,07/02/1977,"-22:22:15,325","-40:24:36,923","-22:22:15,325","-40:24:36,923",,,3303,3303,3303,,122,19.5,
742810010800,Campos,GP,GAROUPA,Petrobras,MAR,7-GP-7-RJS,7GP 0007 RJS,17/01/1977,27/02/1977,27/02/1977,"-22:22:48,718","-40:23:59,644","-22:22:48,718","-40:23:59,644",,,3345,3345,3345,,121.6,25,
742810015300,Campos,GP,GAROUPA,Petrobras,MAR,7-GP-8D-RJS,7GP 0008D RJS,20/12/1977,06/03/1978,06/03/1978,"-22:21:45,427","-40:24:09,041","-22:21:45,427","-40:24:09,041",,,3584,3584,3311.58,,123,15,
742810014900,Campos,GP,GAROUPA,Petrobras,MAR,7-GP-9D-RJS,7GP 0009D RJS,24/11/1977,08/02/1978,08/02/1978,"-22:23:18,476","-40:26:20,110","-22:23:18,476","-40:26:20,110",,,3602,3602,3299.63,,118,26,
742810011800,Campos,MO,MORÉIA,Petrobras,MAR,1-RJS-37-RJS,1RJS 0037 RJ,15/03/1977,16/05/1977,16/05/1977,"-22:16:50,977","-40:09:25,305","-22:16:50,977","-40:09:25,305",,,3794,3794,3794,0,120,25,
