Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
661500468300,Araripe,Brasil,,,TERRA,4-BO-1-PE,4BO 0001 PE,06/10/1994,23/11/1994,23/11/1994,"-07:26:32,972","-40:06:04,875","-07:26:32,972","-40:06:04,875",,,0,933,933,0,0,808,
202460569300,Camamu,Brasil,,,MAR,1-BAS-107-BA,1BAS 0107 BA,07/01/1994,26/02/1994,26/02/1994,"-13:52:59,834","-38:50:29,607","-13:52:59,834","-38:50:29,607",,,2394,2394,2388.04,,48.7,27.29999,PETROBRAS V
202460569900,Camamu,B097,SARDINHA,Petrobras,MAR,3-BAS-108-BA,3BAS 0108 BA,11/03/1994,30/03/1994,30/03/1994,"-13:55:21,517","-38:53:39,555","-13:55:21,517","-38:53:39,555",,,983,983,982.63,,24.2,23.79999,PETROBRAS V
202460570500,Camamu,B097,SARDINHA,Petrobras,MAR,3-BAS-109-BA,3BAS 0109 BA,14/04/1994,30/04/1994,30/04/1994,"-13:57:27,333","-38:54:16,487","-13:57:27,333","-38:54:16,487",,,999,999,998.58,,21.5,23.89999,PETROBRAS V
202460571200,Camamu,B097,SARDINHA,Petrobras,MAR,3-BAS-110-BA,3BAS 0110 BA,07/06/1994,20/06/1994,20/06/1994,"-13:55:45,116","-38:54:04,423","-13:55:45,116","-38:54:04,423",,,903,903,902.96,,21.5,23.7,PETROBRAS V
202460570700,Camamu,B097,SARDINHA,Petrobras,MAR,3-BAS-111-BA,3BAS 0111 BA,08/05/1994,28/05/1994,28/05/1994,"-13:54:11,953","-38:53:36,718","-13:54:11,953","-38:53:36,718",,,1281,1281,1280.5,,20,27.29999,PETROBRAS V
742810207500,Campos,AB,ALBACORA,Petrobras,MAR,3-AB-40-RJS,3AB 0040 RJS,22/04/1994,21/05/1994,21/05/1994,"-22:11:16,603","-39:56:38,500","-22:11:16,603","-39:56:38,500",,,3076,3076,3075.87,,489,22,TRANSOCEAN LEGEND
742810208000,Campos,AB,ALBACORA,Petrobras,MAR,3-AB-41-RJS,3AB 0041 RJS,29/05/1994,14/06/1994,14/06/1994,"-22:11:45,209","-39:58:48,138","-22:11:45,209","-39:58:48,138",,,2979,2979,2978.46,,322,22,TRANSOCEAN LEGEND
742810205900,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-36D-RJS,7AB 0036D RJS,09/01/1994,26/01/1994,26/01/1994,"-22:05:42,512","-39:54:51,199","-22:05:42,512","-39:54:51,199",,,3253,3253,2949.69,,600,22,TRANSOCEAN LEGEND
742810205800,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-37D-RJS,7AB 0037D RJS,06/01/1994,20/01/1994,20/01/1994,"-22:08:32,325","-39:55:33,417","-22:08:32,325","-39:55:33,417",,,3042,3042,2862.63,0,532,22,
742810206700,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-38-RJS,7AB 0038 RJS,31/01/1994,15/02/1994,15/02/1994,"-22:05:39,234","-39:54:38,092","-22:05:39,234","-39:54:38,092",,,2952,2952,2951.72,,630,22,TRANSOCEAN LEGEND
742810207400,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-39D-RJS,7AB 0039D RJS,14/04/1994,27/04/1994,27/04/1994,"-22:08:35,004","-39:55:31,372","-22:08:35,004","-39:55:31,372",,,3035,3035,2825.4,,554,22,
742810207700,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-42D-RJS,7AB 0042D RJS,05/05/1994,23/05/1994,23/05/1994,"-22:08:33,600","-39:55:32,236","-22:08:33,600","-39:55:32,236",,,3438,3438,2802.82,,534,22,
742810208100,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-43D-RJS,7AB 0043D RJS,29/05/1994,10/06/1994,10/06/1994,"-22:08:35,661","-39:55:30,261","-22:08:35,661","-39:55:30,261",,,3276,3276,2906.05,,538,22,
742810208700,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-44DP-RJS,7AB 0044DPRJS,06/08/1994,21/08/1994,21/08/1994,"-22:08:33,600","-39:55:32,236","-22:08:33,600","-39:55:32,236",,,3334,3334,2770.67,,532,22,
742810208400,Campos,BM-C-7,PEREGRINO,Equinor Brasil,MAR,1-RJS-498-RJS,1RJS 0498 RJ,07/07/1994,17/08/1994,17/08/1994,"-23:17:35,127","-41:11:32,046","-23:17:35,127","-41:11:32,046",,,3248,3248,3247.72,0,131,24,ALASKAN STAR
742810206600,Campos,BM-C-8,POLVO,Petro Rio O&G,MAR,1-RJS-455-RJS,1RJS 0455 RJ,24/01/1994,09/02/1994,09/02/1994,"-23:05:52,315","-40:57:25,064","-23:05:52,315","-40:57:25,064",,,2520,2520,2519.94,0,121,30,
