Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
081150081700,Alagoas,FU,FURADO,Petrobras,TERRA,3-FTD-7-AL,3FTD 0007 AL,17/01/1973,13/03/1973,13/03/1973,"-09:45:30,224","-36:07:56,847","-09:45:30,224","-36:07:56,847",,,,1797,1797,,,54,SONDA CONVENCIONAL 41
081150082200,Alagoas,FU,FURADO,Petrobras,TERRA,3-FTD-8-AL,3FTD 0008 AL,24/08/1973,06/10/1973,06/10/1973,"-09:45:44,577","-36:07:56,484","-09:45:44,577","-36:07:56,484",,,,1894.4,1894.4,,,32,SONDA CONVENCIONAL 41
081150082700,Alagoas,FU,FURADO,Petrobras,TERRA,3-FTD-9-AL,3FTD 0009 AL,01/12/1973,11/01/1974,11/01/1974,"-09:45:32,221","-36:08:09,142","-09:45:32,221","-36:08:09,142",,,,1904.7,1904.7,,,24,SONDA CONVENCIONAL 41
081150082100,Alagoas,FU,FURADO,Petrobras,TERRA,3-FU-12-AL,3FU 0012 AL,21/07/1973,02/09/1973,02/09/1973,"-09:45:26,968","-36:08:38,321","-09:45:26,968","-36:08:38,321",,,,2111,2111,,,73,SONDA CONVENCIONAL 40
081150081600,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-11D-AL,7FU 0011D AL,13/01/1973,25/02/1973,25/02/1973,"-09:45:51,751","-36:09:08,649","-09:45:51,751","-36:09:08,649",,,,1765,1615.59,,,15,SONDA CONVENCIONAL 40
081150083100,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-13-AL,7FU 0013 AL,04/02/1973,01/03/1974,01/03/1974,"-09:45:43,039","-36:07:42,352","-09:45:43,039","-36:07:42,352",,,,1743,1743,,,54,SONDA CONVENCIONAL 41
081150081900,Alagoas,SMC,SÃO MIGUEL DOS CAMPOS,Petrobras,TERRA,1-SMC-4-AL,1SMC 0004 AL,11/03/1973,13/05/1973,13/05/1973,"-09:50:29,796","-36:05:43,429","-09:50:29,796","-36:05:43,429",,,,2800,2800,,,105,SONDA CONVENCIONAL 40
081150082400,Alagoas,SMC,SÃO MIGUEL DOS CAMPOS,Petrobras,TERRA,3-SMC-5-AL,3SMC 0005 AL,15/10/1973,07/12/1973,07/12/1973,"-09:50:13,732","-36:05:22,175","-09:50:13,732","-36:05:22,175",,,,2526,2526,,,106,SONDA CONVENCIONAL 40
081150082800,Alagoas,SMC,SÃO MIGUEL DOS CAMPOS,Petrobras,TERRA,3-SMC-6-AL,3SMC 0006 AL,27/12/1973,06/03/1974,06/03/1974,"-09:50:46,104","-36:06:04,444","-09:50:46,104","-36:06:04,444",,,,2710,2710,,,102,SONDA CONVENCIONAL 40
202660271000,Almada,Brasil,,,MAR,1-BAS-13-BA,1BAS 0013 BA,25/08/1973,19/09/1973,19/09/1973,"-14:29:09,971","-38:57:29,391","-14:29:09,971","-38:57:29,391",,,2680,2680,2676.62,,32,22,
202660269100,Almada,Brasil,,,MAR,1-BAS-19-BA,1BAS 0019 BA,11/01/1973,19/01/1973,19/01/1973,"-14:24:07,721","-38:59:25,823","-14:24:07,721","-38:59:25,823",,,960,960,959.68,,21,21.7,PETROBRAS I
140300029300,Amazonas,Brasil,,,TERRA,1-AX-1-AM,1AX 0001 AM,17/02/1973,05/10/1973,05/10/1973,"-04:16:26,789","-58:42:47,302","-04:16:26,788","-58:42:47,303",,,3751.5,3751.5,3751.5,,,46,SONDA CONVENCIONAL 35
140300029200,Amazonas,Brasil,,,TERRA,1-UA-2-AM,1UA 0002 AM,23/01/1973,30/09/1973,30/09/1973,"-03:45:23,521","-58:46:43,730","-03:45:23,521","-58:46:43,731",,,3627,3627,3627,,,30,SONDA CONVENCIONAL 24
202460269600,Camamu,Brasil,,,MAR,1-BAS-20-BA,1BAS 0020 BA,20/02/1973,23/05/1973,23/05/1973,"-13:46:23,626","-38:48:11,137","-13:46:23,626","-38:48:11,137",,,3548,3548,3538.79,,45.1,23.89999,
202460270100,Camamu,Brasil,,,MAR,1-BAS-21-BA,1BAS 0021 BA,27/05/1973,18/08/1973,18/08/1973,"-13:40:00,423","-38:48:57,331","-13:40:00,423","-38:48:57,331",,,3397,3397,3391.77,,46,24,
742810036700,Campos,GP,GAROUPA,Petrobras,MAR,1-RJS-9-RJ,1RJS 0009 RJ,04/11/1973,20/03/1974,20/03/1974,"-22:22:55,766","-40:24:38,104","-22:22:55,766","-40:24:38,104",,,3102,3102,3102,,124,11.69999,
742810036300,Campos,MO,MORÉIA,Petrobras,MAR,1-RJS-7-RJS,1RJS 0007 RJ,18/05/1973,27/08/1973,27/08/1973,"-22:13:51,107","-40:06:19,235","-22:13:51,107","-40:06:19,235",,,3949,3949,3949,0,115,12,
