Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
140100031100,Acre,Brasil,,,TERRA,1-BT-1-AM,1BT 0001 AM,20/11/1974,24/02/1975,24/02/1975,"-06:48:13,870","-73:11:43,390","-06:48:13,869","-73:11:43,391",,,3749,3749,3749,,,157.39999,
140100030300,Acre,Brasil,,,TERRA,1-JQ-1-AM,1JQ 0001 AM,28/05/1974,06/08/1974,06/08/1974,"-06:15:08,173","-73:06:25,500","-06:15:08,174","-73:06:25,499",,,3169,3169,3169,,,137,
081160159400,Alagoas,Brasil,,,MAR,1-ALS-5A-AL,1ALS 0005A AL,30/04/1974,13/05/1974,13/05/1974,"-10:09:06,413","-35:56:04,475","-10:09:06,413","-35:56:04,475",,,,134,134,,21,18.29999,
081160158800,Alagoas,Brasil,,,MAR,1-ALS-5-AL,1ALS 0005 AL,12/03/1974,17/04/1974,17/04/1974,"-10:09:04,079","-35:56:00,300","-10:09:04,079","-35:56:00,300",,,,504,504,,21,18.29999,
081160159600,Alagoas,Brasil,,,MAR,1-ALS-7-AL,1ALS 0007 AL,20/05/1974,28/08/1974,28/08/1974,"-10:02:59,404","-35:48:12,263","-10:02:59,404","-35:48:12,263",,,,3439,3439,,36.5,20,
081160159200,Alagoas,Brasil,,,MAR,1-ALS-9-AL,1ALS 0009 AL,22/04/1974,03/08/1974,03/08/1974,"-10:18:31,767","-36:10:19,118","-10:18:31,767","-36:10:19,118",,,,3810,3810,,17,22,PETROBRAS I
081150086100,Alagoas,Brasil,,,TERRA,1-FH-1-AL,1FH 0001 AL,08/11/1974,14/01/1975,14/01/1975,"-09:39:59,045","-35:57:06,299","-09:39:59,045","-35:57:06,299",,,,3200,3200,,,75,SONDA CONVENCIONAL 50
081150084700,Alagoas,Brasil,,,TERRA,1-SU-1-AL,1SU 0001 AL,24/06/1974,18/10/1974,18/10/1974,"-09:53:49,504","-36:08:28,415","-09:53:49,504","-36:08:28,415",,,,2970,2970,,,101,SONDA CONVENCIONAL 40
081150084600,Alagoas,Brasil,,,TERRA,1-TA-1-AL,1TA 0001 AL,26/05/1974,11/09/1974,11/09/1974,"-09:53:40,004","-36:02:24,663","-09:53:40,004","-36:02:24,663",,,,3318,3318,,,77,SONDA CONVENCIONAL 50
081150057800,Alagoas,Brasil,,,TERRA,9-MINA-6-AL,9MINA0006 AL,29/12/1974,05/02/1975,05/02/1975,"-09:37:52,484","-35:44:44,614","-09:37:52,484","-35:44:44,614",,,,1170,1170,,,5.19999,
081150083600,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-14-AL,7FU 0014 AL,21/03/1974,11/04/1974,11/04/1974,"-09:45:36,946","-36:08:37,996","-09:45:36,946","-36:08:37,996",,,,1703,1703,,,45,SONDA CONVENCIONAL 41
081150083700,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-15-AL,7FU 0015 AL,28/03/1974,02/05/1974,02/05/1974,"-09:45:43,166","-36:08:09,936","-09:45:43,166","-36:08:09,936",,,,1850,1850,,,17,SONDA CONVENCIONAL 40
081150084300,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-16D-AL,7FU 0016D AL,15/05/1974,24/07/1974,24/07/1974,"-09:45:51,008","-36:07:53,114","-09:45:51,008","-36:07:53,114",,,,1921,1880.68,,,23,SONDA CONVENCIONAL 41
081150085100,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-17-AL,7FU 0017 AL,13/08/1974,06/09/1974,06/09/1974,"-09:45:48,515","-36:08:37,521","-09:45:48,515","-36:08:37,521",,,,1690,1690,,,19,SONDA CONVENCIONAL 41
081150085400,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-18-AL,7FU 0018 AL,24/09/1974,14/10/1974,14/10/1974,"-09:45:36,772","-36:08:24,715","-09:45:36,772","-36:08:24,715",,,,1680,1680,,,32,SONDA CONVENCIONAL 41
081150085900,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-19-AL,7FU 0019 AL,28/10/1974,04/12/1974,04/12/1974,"-09:45:45,008","-36:07:29,869","-09:45:45,008","-36:07:29,869",,,,1881,1881,,,78,SONDA CONVENCIONAL 41
081150086900,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-20-AL,7FU 0020 AL,22/12/1974,11/02/1975,11/02/1975,"-09:45:54,692","-36:07:45,926","-09:45:54,692","-36:07:45,926",,,,1815,1815,,,14,SONDA CONVENCIONAL 41
081150086200,Alagoas,SMC,SÃO MIGUEL DOS CAMPOS,Petrobras,TERRA,3-SMC-7-AL,3SMC 0007 AL,16/11/1974,02/02/1975,02/02/1975,"-09:49:57,127","-36:06:22,617","-09:49:57,127","-36:06:22,617",,,,2782,2782,,,114,SONDA CONVENCIONAL 40
140300029900,Amazonas,Brasil,,,TERRA,1-FZ-1-AM,1FZ 0001 AM,04/02/1974,11/06/1974,11/06/1974,"-03:43:36,816","-58:57:04,838","-03:43:36,815","-58:57:04,838",,,2858,2858,2858,,,28,SONDA CONVENCIONAL 35
140300031200,Amazonas,Brasil,,,TERRA,1-LG-3-AM,1LG 0003 AM,29/11/1974,02/01/1975,02/01/1975,"-03:15:44,537","-59:41:20,672","-03:15:44,535","-59:41:20,671",,,1400,1400,1400,,,20,SONDA CONVENCIONAL 35
140300030700,Amazonas,Brasil,,,TERRA,1-MU-4-AM,1MU 0004 AM,08/09/1974,04/10/1974,04/10/1974,"-03:09:37,839","-60:38:21,903","-03:09:37,838","-60:38:21,904",,,1356,1356,1356,,,55,SONDA CONVENCIONAL 35
140300030100,Amazonas,Brasil,,,TERRA,9-FZ-2-AM,9FZ 0002 AM,04/04/1974,13/07/1974,13/07/1974,"-03:42:43,167","-58:56:22,675","-03:42:43,168","-58:56:22,676",,,2797,2797,2797,,,26,SONDA CONVENCIONAL 24
500810030500,Barreirinhas,Brasil,,,MAR,1-MAS-6-MA,1MAS 0006 MA,23/06/1974,23/08/1974,23/08/1974,"-02:23:39,215","-42:46:09,349","-02:23:39,215","-42:46:09,349",,,3179,3179,3179,,183,32,
500810030000,Barreirinhas,Brasil,,,MAR,1-MAS-7-MA,1MAS 0007 MA,01/03/1974,07/06/1974,07/06/1974,"-01:43:06,858","-43:09:48,347","-01:43:06,858","-43:09:48,347",,,3274,3274,3274,,65,26.29999,
742810037100,Campos,Brasil,,,MAR,1-RJS-10A-RJ,1RJS 0010A RJ,04/02/1974,19/05/1974,19/05/1974,"-21:54:21,772","-40:09:18,412","-21:54:21,772","-40:09:18,412",,,4227,4227,4227,,65.5,24.39999,
742810037000,Campos,Brasil,,,MAR,1-RJS-10-RJ,1RJS 0010 RJ,20/01/1974,26/01/1974,26/01/1974,"-21:54:21,840","-40:09:18,031","-21:54:21,840","-40:09:18,031",,,400,400,400,,65.5,24.39999,
742810037200,Campos,Brasil,,,MAR,1-RJS-11-RJ,1RJS 0011 RJ,08/04/1974,27/07/1974,27/07/1974,"-22:08:18,373","-40:03:41,126","-22:08:18,373","-40:03:41,126",,,4000,4000,4000,,90,12,
742810037500,Campos,GP,GAROUPA,Petrobras,MAR,1-RJS-9A-RJ,1RJS 0009A RJ,29/07/1974,11/12/1974,11/12/1974,"-22:22:49,866","-40:24:36,153","-22:22:49,866","-40:24:36,153",,,3751,3751,3751,,124,10.69999,
742810037600,Campos,PG,PARGO,Perenco Brasil,MAR,1-RJS-12-RJ,1RJS 0012 RJ,17/09/1974,27/01/1975,27/01/1975,"-22:14:12,965","-40:18:56,466","-22:14:12,965","-40:18:56,466",,,4313,4313,4313,,96,12,
202560281600,Cumuruxatiba,Brasil,,,MAR,1-BAS-15-BA,1BAS 0015 BA,27/11/1974,06/02/1975,06/02/1975,"-16:26:34,337","-38:40:39,200","-16:26:34,337","-38:40:39,200",,,3491,3491,3482.22,,37,23,
202560275100,Cumuruxatiba,Brasil,,,MAR,1-BAS-24-BA,1BAS 0024 BA,03/01/1974,17/03/1974,17/03/1974,"-17:11:18,392","-38:37:02,935","-17:11:18,392","-38:37:02,935",,,4164,4164,4164,,52,23,
202560276400,Cumuruxatiba,Brasil,,,MAR,3-AR-1-BAS,3AR 0001 BAS,26/03/1974,03/05/1974,03/05/1974,"-17:24:11,971","-38:46:49,509","-17:24:11,971","-38:46:49,509",,,2780,2780,2777.22,,23.4,22.89999,
202560277300,Cumuruxatiba,Brasil,,,MAR,3-AR-2-BAS,3AR 0002 BAS,09/05/1974,10/06/1974,10/06/1974,"-17:23:21,430","-38:45:07,745","-17:23:21,430","-38:45:07,745",,,2440,2440,2440,,23,21,
342710037400,Espírito Santo,BE-49,,Petrobras,MAR,1-ESS-19-ESS,1ESS 0019 ES,23/06/1974,08/09/1974,08/09/1974,"-19:09:27,704","-39:27:16,987","-19:09:27,704","-39:27:16,987",,,4238,4238,4238,0,33,22,
342710037300,Espírito Santo,Brasil,,,MAR,1-ESS-17-ES,1ESS 0017 ES,06/06/1974,04/08/1974,04/08/1974,"-18:38:23,470","-39:38:59,057","-18:38:23,470","-39:38:59,057",,,3000,3000,3000,,15.2,24.29999,
342710037800,Espírito Santo,Brasil,,,MAR,1-ESS-21-ES,1ESS 0021 ES,18/10/1974,19/11/1974,19/11/1974,"-19:02:03,338","-39:38:33,972","-19:02:03,338","-39:38:33,972",,,3032,3032,3032,,20,22,
342700279700,Espírito Santo,Brasil,,,TERRA,1-MT-1-ES,1MT 0001 ES,30/08/1974,01/11/1974,01/11/1974,"-19:31:00,249","-39:48:19,189","-19:31:00,249","-39:48:19,189",,,3559,3559,3559,,,7.59999,SONDA CONVENCIONAL 29
342700283100,Espírito Santo,Brasil,,,TERRA,1-PA-1D-ES,1PA 0001D ES,22/12/1974,12/03/1975,12/03/1975,"-19:08:41,648","-39:47:58,106","-19:08:41,648","-39:47:58,106",,,2830,2830,,,,8,SONDA CONVENCIONAL 29
342700275100,Espírito Santo,Brasil,,,TERRA,1-RG-1-ES,1RG 0001 ES,25/01/1974,13/02/1974,13/02/1974,"-19:40:34,676","-39:53:50,097","-19:40:34,676","-39:53:50,097",,,861,861,861,,,9.39999,SONDA CONVENCIONAL 65
342700277300,Espírito Santo,Brasil,,,TERRA,3-RIP-2-ES,3RIP 0002 ES,09/05/1974,28/06/1974,28/06/1974,"-19:13:54,367","-39:44:36,456","-19:13:54,367","-39:44:36,456",,,3422,3422,3422,,,7.19999,SONDA CONVENCIONAL 29
342700278200,Espírito Santo,FC,FAZENDA CEDRO,Petrobras,TERRA,7-FC-11D-ES,7FC 0011D ES,12/06/1974,07/07/1974,07/07/1974,"-19:02:38,477","-39:48:20,959","-19:02:38,477","-39:48:20,959",,,2095,2095,2006.09,,,8,SONDA CONVENCIONAL 42
342700278700,Espírito Santo,FC,FAZENDA CEDRO,Petrobras,TERRA,7-FC-12D-ES,7FC 0012D ES,21/07/1974,09/08/1974,09/08/1974,"-19:02:15,572","-39:48:43,254","-19:02:15,572","-39:48:43,254",,,2194,2194,2025.23,,,8,SONDA CONVENCIONAL 42
342700280000,Espírito Santo,FC,FAZENDA CEDRO,Petrobras,TERRA,7-FC-13D-ES,7FC 0013D ES,12/09/1974,02/10/1974,02/10/1974,"-19:02:15,682","-39:48:43,193","-19:02:15,682","-39:48:43,193",,,2092,2092,1955.21,,,7,SONDA CONVENCIONAL 42
342700281600,Espírito Santo,FC,FAZENDA CEDRO,Petrobras,TERRA,7-FC-14D-ES,7FC 0014D ES,05/11/1974,25/11/1974,25/11/1974,"-19:02:39,446","-39:48:21,558","-19:02:39,446","-39:48:21,558",,,2044,2044,1939.97,,,8,SONDA CONVENCIONAL 42
342700282900,Espírito Santo,FC,FAZENDA CEDRO,Petrobras,TERRA,7-FC-15D-ES,7FC 0015D ES,16/12/1974,24/01/1975,24/01/1975,"-19:02:27,316","-39:48:31,630","-19:02:27,316","-39:48:31,630",,,2168,2168,1944.61,,,7,SONDA CONVENCIONAL 42
342700276000,Espírito Santo,FQ,FAZENDA QUEIMADAS,Petrobras,TERRA,1-FCN-1D-ES,1FCN 0001D ES,26/02/1974,11/03/1974,11/03/1974,"-19:00:11,138","-39:48:30,665","-19:00:11,138","-39:48:30,665",,,1040,1040,982.21,0,0,9.5,SONDA CONVENCIONAL 42
342700276400,Espírito Santo,FQ,FAZENDA QUEIMADAS,Petrobras,TERRA,1-FCN-2D-ES,1FCN 0002D ES,15/03/1974,22/05/1974,22/05/1974,"-19:00:11,138","-39:48:30,665","-19:00:11,138","-39:48:30,665",,,2242.5,2242.5,2048.07,0,0,9,SONDA CONVENCIONAL 42
120510030900,Foz do Amazonas,Brasil,,,MAR,1-APS-10-AP,1APS 0010 AP,19/10/1974,31/10/1974,31/10/1974,"+03:28:47,492","-48:42:42,484","+03:28:47,491","-48:42:42,485",,,460,460,460,,131,25,
120510030200,Foz do Amazonas,Brasil,,,MAR,1-APS-11-AP,1APS 0011 AP,12/04/1974,29/05/1974,29/05/1974,"+03:04:04,423","-48:59:56,165","+03:04:04,424","-48:59:56,168",,,3931,3931,3931,,80,29,
120510030400,Foz do Amazonas,Brasil,,,MAR,1-APS-13-AP,1APS 0013 AP,16/06/1974,13/09/1974,13/09/1974,"+02:43:51,293","-49:00:07,818","+02:43:51,293","-49:00:07,815",,,4494,4494,4494,,84,28,
120510030800,Foz do Amazonas,Brasil,,,MAR,1-APS-14-AP,1APS 0014 AP,11/10/1974,06/01/1975,06/01/1975,"+02:42:22,696","-48:20:51,477","+02:42:22,697","-48:20:51,474",,,5000,5000,5000,,88.6,31.39999,
120510031000,Foz do Amazonas,Brasil,,,MAR,1-APS-5-AP,1APS 0005 AP,03/11/1974,18/02/1975,18/02/1975,"+03:05:49,163","-48:57:44,068","+03:05:49,161","-48:57:44,065",,,4354,4354,4354,,88,22,
120510030600,Foz do Amazonas,Brasil,,,MAR,1-APS-9-AP,1APS 0009 AP,10/07/1974,14/09/1974,14/09/1974,"+02:55:58,252","-48:44:35,228","+02:55:58,251","-48:44:35,225",,,4794,4794,4794,,82,24,
342610037700,Mucuri,Brasil,,,MAR,1-ESS-20-ES,1ESS 0020 ES,19/09/1974,07/10/1974,07/10/1974,"-18:34:25,805","-38:16:37,223","-18:34:25,805","-38:16:37,223",,,2136,2136,2136,,24,22,
823000709100,Paraná,Brasil,,,TERRA,1-MB-1-SC,1MB 0001 SC,11/03/1974,10/05/1974,10/05/1974,"-27:19:31,377","-50:44:16,953","-27:19:31,377","-50:44:16,953",,,2071,2071,2071,,,848,SONDA CONVENCIONAL 60
823000709200,Paraná,Brasil,,,TERRA,3-MC-3-SC,3MC 0003 SC,27/05/1974,06/07/1974,06/07/1974,"-26:31:14,680","-51:08:51,426","-26:31:14,680","-51:08:51,426",,,1902,1902,1902,,,1064,SONDA CONVENCIONAL 60
721010022200,Potiguar,Brasil,,,MAR,1-RNS-5-RN,1RNS 0005 RN,22/09/1974,29/11/1974,29/11/1974,"-04:56:46,113","-36:09:53,051","-04:56:46,113","-36:09:53,051",,,3553,3553,3553,,13,26,
721010023000,Potiguar,Brasil,,,MAR,1-RNS-8-RN,1RNS 0008 RN,24/10/1974,08/04/1975,08/04/1975,"-04:27:44,385","-37:08:18,760","-04:27:44,385","-37:08:18,760",,,2619.7,2619.7,2619.7,,32,23,
721010019700,Potiguar,R071,OESTE DE UBARANA,Petrobras,MAR,1-RNS-4-RN,1RNS 0004 RN,09/04/1974,01/07/1974,01/07/1974,"-04:52:05,871","-36:28:35,674","-04:52:05,871","-36:28:35,674",,,4003,4003,4003,,15,24,
721010018300,Potiguar,UB,UBARANA,Petrobras,MAR,3-UB-1-RNS,3UB 0001 RNS,02/01/1974,19/02/1974,19/02/1974,"-04:54:33,191","-36:24:43,856","-04:54:33,191","-36:24:43,856",,,2725,2725,2725,,12,27,
721010019100,Potiguar,UB,UBARANA,Petrobras,MAR,3-UB-2-RNS,3UB 0002 RNS,13/03/1974,21/04/1974,21/04/1974,"-04:54:12,092","-36:23:42,546","-04:54:12,092","-36:23:42,546",,,2727,2727,2727,,18,23,
