Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
081150006300,Alagoas,Brasil,,,TERRA,1-BSM-1-AL,1BSM 0001 AL,26/03/1960,04/09/1960,04/09/1960,"-09:50:48,098","-35:54:11,170","-09:50:48,098","-35:54:11,170",,,,3660,3660,,,8,SONDA CONVENCIONAL 60
081150005800,Alagoas,Brasil,,,TERRA,1-FS-1-AL,1FS 0001 AL,08/01/1960,05/03/1960,05/03/1960,"-09:46:23,642","-35:50:57,587","-09:46:23,642","-35:50:57,587",,,,2503,2503,,,14,SONDA CONVENCIONAL 60
081150006500,Alagoas,Brasil,,,TERRA,1-LJ-1-AL,1LJ 0001 AL,02/06/1960,16/07/1960,16/07/1960,"-10:00:04,371","-36:06:33,849","-10:00:04,371","-36:06:33,849",,,,1984,1984,,,70,SONDA CONVENCIONAL 59
081150006200,Alagoas,Brasil,,,TERRA,1-PG-1-AL,1PG 0001 AL,16/03/1960,08/05/1960,08/05/1960,"-09:59:39,512","-36:12:45,149","-09:59:39,512","-36:12:45,149",,,,1260.5,1260.5,,,106,SONDA CONVENCIONAL 59
081150007100,Alagoas,Brasil,,,TERRA,2-CPST-1-AL,2CPST0001 AL,04/11/1960,01/12/1960,01/12/1960,"-10:12:08,162","-36:15:12,344","-10:12:08,162","-36:15:12,344",,,,747.6,747.6,,,50,SONDA CONVENCIONAL 40
081150007200,Alagoas,JA,JEQUIÁ,Petrosynergy,TERRA,3-JA-10-AL,3JA 0010 AL,08/11/1960,17/12/1960,17/12/1960,"-09:53:30,611","-35:59:33,513","-09:53:30,611","-35:59:33,513",,,,1257,1257,,,81,SONDA CONVENCIONAL 61
081150007500,Alagoas,,PIAÇABUÇU,,TERRA,1-PIA-1-AL,1PIA 0001 AL,18/12/1960,17/04/1961,17/04/1961,"-10:23:52,918","-36:22:02,862","-10:23:52,918","-36:22:02,862",,,0,2741,2741,0,0,14,SONDA CONVENCIONAL 40
081150005900,Alagoas,,,,TERRA,3-JA-9-AL,3JA 0009 AL,29/01/1960,28/02/1960,28/02/1960,"-09:53:33,951","-35:58:56,129","-09:53:33,951","-35:58:56,129",,,0,1581,1581,0,0,12,SONDA CONVENCIONAL 59
140300010800,Amazonas,Brasil,,,TERRA,1-AM-10-AM,1AM 0010 AM,03/06/1960,14/08/1960,14/08/1960,"-03:12:22,603","-59:46:42,303","-03:12:22,602","-59:46:42,302",,,1388.4,1388.4,1388.4,,,28.6,SONDA CONVENCIONAL 31
140300012000,Amazonas,Brasil,,,TERRA,1-AM-11-AM,1AM 0011 AM,06/09/1960,05/11/1960,05/11/1960,"-03:13:47,082","-59:48:19,324","-03:13:47,081","-59:48:19,324",,,1358.9,1358.9,1358.9,,,24.79999,SONDA CONVENCIONAL 31
