Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
08115027653,Alagoas,SEAL-T-187,,Integral,TERRA,1-INT-1-AL,1INT1AL,29/06/2014,26/08/2014,26/08/2014,"-09:53:40,814","-36:12:25,184","-09:53:40,814","-36:12:25,184","-09:53:40,814","-36:12:25,184",890,1330,1297.69,116.7,0,121.5,TORRES01
08115027754,Alagoas,,ANAMBÉ,Petrobras,TERRA,3-BRSA-1263D-AL,3ANB17DAL,06/09/2014,23/10/2014,04/11/2014,"-09:43:34,508","-36:05:16,513","-09:43:34,360","-36:05:16,229","-09:43:36,092","-36:05:16,009",3425,3410,3100,121.8,0,131.2,SONDA CONVENCIONAL 108
08115027420,Alagoas,,CIDADE DE SÃO MIGUEL DOS CAMPOS,Petrobras,TERRA,7-CSM-39D-AL,7CSM39DAL,17/01/2014,09/02/2014,12/02/2014,"-09:47:37,673","-36:07:53,650","-09:47:37,681","-36:07:53,658","-09:47:40,829","-36:07:42,244",2265,2100,1850,122.84,0,132.24,SONDA CONVENCIONAL 108
08115027482,Alagoas,,FURADO,Petrobras,TERRA,7-FU-167D-AL,7FU167DAL,23/02/2014,13/03/2014,15/03/2014,"-09:46:19,950","-36:08:09,529","-09:46:19,989","-36:08:09,449","-09:46:14,178","-36:08:14,146",1486,1600,1400,15.3,0,20.2,SONDA CONVENCIONAL 91
08115027523,Alagoas,,FURADO,Petrobras,TERRA,7-FU-168D-AL,7FU168DAL,20/03/2014,05/04/2014,09/04/2014,"-09:45:27,536","-36:08:38,173","-09:45:27,546","-36:08:38,209","-09:45:34,022","-36:08:43,757",1606,1650,1500,69.42,0,74.32,SONDA CONVENCIONAL 91
08115027476,Alagoas,,FURADO,Petrobras,TERRA,7-FU-169D-AL,7FU169DAL,19/02/2014,14/03/2014,16/03/2014,"-09:45:31,664","-36:07:36,043","-09:45:31,770","-36:07:35,996","-09:45:27,705","-36:07:37,158",1895,2000,1700,129.27,0,138.67,SONDA CONVENCIONAL 108
08115027880,Alagoas,,PILAR,Petrobras,TERRA,3-BRSA-1283-AL,3PIR294AL,19/11/2014,28/06/2015,31/07/2015,"-09:36:19,519","-35:54:03,174","-09:36:20,223","-35:54:03,289","-09:36:20,966","-35:54:03,024",4377,4370,4250,110.8,0,120.2,SONDA CONVENCIONAL 108
08115027589,Alagoas,,PILAR,Petrobras,TERRA,7-PIR-269D-AL,7PIR269DAL,01/05/2014,24/05/2014,26/05/2014,"-09:35:12,014","-35:54:17,508","-09:35:13,098","-35:54:18,582","-09:35:08,448","-35:54:23,412",1145,1350,900,109.73,0,114.63,SONDA CONVENCIONAL 91
08115027559,Alagoas,,PILAR,Petrobras,TERRA,7-PIR-270D-AL,7PIR270DAL,13/04/2014,26/04/2014,02/05/2014,"-09:38:21,444","-35:52:06,494","-09:38:21,890","-35:52:07,311","-09:38:13,012","-35:52:23,136",1603,1800,1300,90.48,0,95.38,SONDA CONVENCIONAL 91
08115027544,Alagoas,,PILAR,Petrobras,TERRA,7-PIR-272D-AL,7PIR272DAL,26/03/2014,24/04/2014,29/04/2014,"-09:38:30,575","-35:52:40,671","-09:38:30,575","-35:52:40,671","-09:38:25,844","-35:52:52,086",2670,2500,2200,96.39,0,105.79,SONDA CONVENCIONAL 108
08115027707,Alagoas,,PILAR,Petrobras,TERRA,7-PIR-273D-AL,7PIR273DAL,09/07/2014,25/07/2014,04/08/2014,"-09:37:11,140","-35:53:46,540","-09:37:10,070","-35:53:46,647","-09:37:12,469","-35:53:43,172",2195,2100,1900,106.37,0,115.77,SONDA CONVENCIONAL 108
08115027760,Alagoas,,PILAR,Petrobras,TERRA,7-PIR-274D-AL,7PIR274DAL,11/08/2014,25/08/2014,29/08/2014,"-09:35:23,157","-35:52:38,840","-09:35:23,227","-35:52:38,230","-09:35:24,469","-35:52:28,301",2192,2000,1750,101.97,0,111.37,SONDA CONVENCIONAL 108
08115027590,Alagoas,,PILAR,Petrobras,TERRA,7-PIR-275D-AL,7PIR275DAL,09/05/2014,07/06/2014,12/06/2014,"-09:37:08,949","-35:52:49,272","-09:37:10,968","-35:52:49,234","-09:36:56,939","-35:52:59,692",2408,2400,2050,99.08,0,108.48,SONDA CONVENCIONAL 108
08115027665,Alagoas,,PILAR,Petrobras,TERRA,7-PIR-281DP-AL,7PIR281DPAL,14/06/2014,27/06/2014,02/07/2014,"-09:37:10,968","-35:52:49,234","-09:37:10,968","-35:52:49,234","-09:36:59,788","-35:52:55,944",2783,2705,2335,99.08,0,108.48,SONDA CONVENCIONAL 108
14030027911,Amazonas,AM-T-62,,Petrobras,TERRA,1-BRSA-1285-AM,1SSB1AM,26/11/2014,13/02/2015,02/03/2015,"-02:28:19,736","-57:56:38,981","-02:28:19,805","-57:56:38,883","-02:28:19,805","-57:56:38,883",2300,2200,2155,44.9,0,49.4,QUEIROZ GALVÃO 04 (QG-04)
