Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
081160714000,Alagoas,Brasil,,,MAR,1-ALS-37-AL,1ALS 0037 AL,30/11/1984,09/12/1984,09/12/1984,"-09:51:40,140","-35:48:30,661","-09:51:40,140","-35:48:30,661",,,,825,825,,26,30,
081150269400,Alagoas,Brasil,,,TERRA,1-CHP-1-AL,1CHP 0001 AL,02/09/1984,22/09/1984,22/09/1984,"-09:35:33,508","-35:58:41,472","-09:35:33,508","-35:58:41,472",,,,1866,1866,,,134,
081150272700,Alagoas,Brasil,,,TERRA,1-HZ-1-AL,1HZ 0001 AL,28/10/1984,28/11/1984,28/11/1984,"-09:39:46,737","-36:01:33,250","-09:39:46,737","-36:01:33,250",,,,2149,2149,,,113,SONDA CONVENCIONAL 26
081150270800,Alagoas,Brasil,,,TERRA,1-MD-5-AL,1MD 0005 AL,29/09/1984,06/11/1984,06/11/1984,"-09:41:35,081","-35:50:48,996","-09:41:35,081","-35:50:48,996",,,,3505,3505,,,85,QUEIROZ GALVÃO 01
081150271300,Alagoas,Brasil,,,TERRA,1-SJO-1-AL,1SJO 0001 AL,07/10/1984,22/10/1984,22/10/1984,"-09:41:12,625","-35:57:24,578","-09:41:12,625","-35:57:24,578",,,,2308,2308,,,94,SONDA CONVENCIONAL 26
081150270700,Alagoas,CS,COQUEIRO SECO,Petrosynergy,TERRA,7-CS-16-AL,7CS 0016 AL,29/09/1984,02/10/1984,02/10/1984,"-09:39:13,132","-35:47:36,606","-09:39:13,132","-35:47:36,606",,,,753,753,,,96.4,SONDA CONVENCIONAL 92
081150258500,Alagoas,FGT,FAZENDA GUINDASTE,Petrosynergy,TERRA,3-FGT-4-AL,3FGT 0004 AL,09/03/1984,21/05/1984,21/05/1984,"-09:24:55,804","-35:34:32,946","-09:24:55,804","-35:34:32,946",,,,3533,3533,,,56,QUEIROZ GALVÃO 02
081150276700,Alagoas,FU,FURADO,Petrobras,TERRA,3-FU-99-AL,3FU 0099 AL,28/12/1984,27/01/1985,27/01/1985,"-09:46:22,472","-36:08:58,988","-09:46:22,472","-36:08:58,988",,,,2443,2443,,,19,SONDA CONVENCIONAL 50
081150270200,Alagoas,FU,FURADO,Petrobras,TERRA,4-FU-98-AL,4FU 0098 AL,16/09/1984,02/10/1984,02/10/1984,"-09:43:59,352","-36:09:16,876","-09:43:59,352","-36:09:16,876",,,,1532,1532,,,125,SONDA CONVENCIONAL 26
081150261200,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-94-AL,7FU 0094 AL,19/04/1984,04/05/1984,04/05/1984,"-09:43:54,935","-36:07:56,947","-09:43:54,935","-36:07:56,947",,,,1539,1539,,,136,SONDA CONVENCIONAL 26
