Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
081160164600,Alagoas,Brasil,,,MAR,1-ALS-5B-AL,1ALS 0005B AL,29/01/1976,09/03/1976,09/03/1976,"-10:08:47,283","-35:55:44,106","-10:08:47,283","-35:55:44,106",,,,2507,2507,,30,24,
081150093800,Alagoas,Brasil,,,TERRA,1-CCE-1-AL,1CCE 0001 AL,28/01/1976,17/05/1976,17/05/1976,"-10:07:07,861","-36:08:16,300","-10:07:07,861","-36:08:16,300",,,,3042,3042,,,50,SONDA CONVENCIONAL 50
081150097800,Alagoas,Brasil,,,TERRA,1-CSU-1-AL,1CSU 0001 AL,26/06/1976,16/08/1976,16/08/1976,"-09:53:42,635","-36:09:49,975","-09:53:42,635","-36:09:49,975",,,,1709,1709,,,97,SONDA CONVENCIONAL 26
081150098000,Alagoas,Brasil,,,TERRA,1-SAU-1-AL,1SAU 0001 AL,05/07/1976,17/08/1976,17/08/1976,"-09:43:22,425","-36:06:32,638","-09:43:22,425","-36:06:32,638",,,,1590,1590,,,129,SONDA CONVENCIONAL 32
081160165400,Alagoas,Brasil,,,MAR,3-CV-1-ALS,3CV 0001 ALS,28/04/1976,20/07/1976,20/07/1976,"-10:13:56,834","-36:08:29,269","-10:13:56,834","-36:08:29,269",,,,3023,3023,,16,23,PETROBRAS I
081150100500,Alagoas,CSM,CIDADE DE SÃO MIGUEL DOS CAMPOS,Petrobras,TERRA,4-CSMC-4-AL,4CSMC0004 AL,13/10/1976,19/12/1976,19/12/1976,"-09:48:31,908","-36:07:01,905","-09:48:31,908","-36:07:01,905",,,,2678,2678,,,123,SONDA CONVENCIONAL 50
081150102000,Alagoas,FU,FURADO,Petrobras,TERRA,4-FU-36-AL,4FU 0036 AL,23/11/1976,26/01/1977,26/01/1977,"-09:46:57,765","-36:09:44,277","-09:46:57,765","-36:09:44,277",,,,2333,2333,,,135,SONDA CONVENCIONAL 26
081150102100,Alagoas,FU,FURADO,Petrobras,TERRA,4-FU-37-AL,4FU 0037 AL,25/11/1976,21/12/1976,21/12/1976,"-09:45:24,652","-36:10:13,654","-09:45:24,652","-36:10:13,654",,,,1548,1548,,,109,SONDA CONVENCIONAL 41
081150093900,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-27-AL,7FU 0027 AL,30/01/1976,25/02/1976,25/02/1976,"-09:46:22,525","-36:07:31,085","-09:46:22,525","-36:07:31,085",,,,1893,1893,,,14,SONDA CONVENCIONAL 41
081150095000,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-28-AL,7FU 0028 AL,13/03/1976,21/04/1976,21/04/1976,"-09:46:22,693","-36:07:55,966","-09:46:22,693","-36:07:55,966",,,,1879,1879,,,29,SONDA CONVENCIONAL 41
081150094900,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-29-AL,7FU 0029 AL,11/03/1976,04/04/1976,04/04/1976,"-09:45:29,856","-36:09:02,079","-09:45:29,856","-36:09:02,079",,,,1675,1675,,,69,SONDA CONVENCIONAL 40
081150095900,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-30-AL,7FU 0030 AL,21/04/1976,29/05/1976,29/05/1976,"-09:45:17,003","-36:07:51,811","-09:45:17,003","-36:07:51,811",,,1917,1917,1917,129.39,0,132.89,SONDA CONVENCIONAL 40
