Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
140100068500,Acre,Brasil,,,TERRA,1-RPX-1-AM,1RPX 0001 AM,30/08/1995,22/02/1996,22/02/1996,"-07:06:41,745","-73:05:33,306","-07:06:41,746","-73:05:33,307",,,5049,5049,5049,,,194.19999,QUEIROZ GALVÃO 01
081150385700,Alagoas,Brasil,,,TERRA,1-RD-2-AL,1RD 0002 AL,09/02/1995,27/05/1995,27/05/1995,"-09:29:35,367","-35:38:12,050","-09:29:35,367","-35:38:12,050",,,,4100,4066.76,,,73,SONDA CONVENCIONAL 110
202460574600,Camamu,Brasil,,,MAR,1-BAS-113-BA,1BAS 0113 BA,21/06/1995,17/11/1995,17/11/1995,"-13:09:28,604","-38:41:23,572","-13:09:28,604","-38:41:23,572",,,3819,3819,3815.35,,19.8,26.7,PETROBRAS VI
202460576100,Camamu,B097,SARDINHA,Petrobras,MAR,6-BAS-115-BA,6BAS 0115 BA,12/12/1995,29/12/1995,29/12/1995,"-13:55:15,076","-38:54:59,510","-13:55:15,076","-38:54:59,510",,,1048,1048,1048,,19,25,PETROBRAS VI
742810212200,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-45D-RJS,7AB 0045D RJS,22/08/1995,09/09/1995,09/09/1995,"-22:08:13,560","-39:55:21,704","-22:08:13,560","-39:55:21,704",,,3052,3052,2831.37,,550,22,
742810213500,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-46D-RJS,7AB 0046D RJS,27/11/1995,20/12/1995,20/12/1995,"-22:10:54,819","-39:57:11,487","-22:10:54,819","-39:57:11,487",,,2910,2910,2839.32,,370,25,PETROBRAS XVII
742810214400,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-47D-RJS,7AB 0047D RJS,31/12/1995,22/01/1996,22/01/1996,"-22:10:53,842","-39:57:12,007","-22:10:53,842","-39:57:12,007",,,3080,3080,2788.7,,370,25,PETROBRAS XVII
742810214200,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-48D-RJS,7AB 0048D RJS,28/12/1995,14/02/1996,14/02/1996,"-22:10:53,031","-39:57:11,756","-22:10:53,031","-39:57:11,756",,,2862,2862,2756.09,0,370,25,PETROBRAS XVII
742810212700,Campos,ABL,ALBACORA LESTE,Petrobras,MAR,3-RJS-510A-RJ,3RJS 0510A RJ,19/09/1995,10/10/1995,10/10/1995,"-22:06:29,784","-39:45:31,793","-22:06:29,784","-39:45:31,793",,,3014,3014,3013.96,,1732,14,DISCOVER SEVEN SEAS
742810212500,Campos,ABL,ALBACORA LESTE,Petrobras,MAR,3-RJS-510-RJ,3RJS 0510 RJ,14/09/1995,16/09/1995,16/09/1995,"-22:06:34,780","-39:45:41,348","-22:06:34,780","-39:45:41,348",,,2148,2148,2148,,1687,14,DISCOVER SEVEN SEAS
742810211000,Campos,BM-C-8,POLVO,Petro Rio O&G,MAR,3-GRJ-1-RJS,3GRJ 0001 RJS,21/03/1995,12/04/1995,12/04/1995,"-23:06:43,288","-40:58:53,413","-23:06:43,288","-40:58:53,413",,,2394,2394,2393.18,0,109,24,ALASKAN STAR
742810211800,Campos,BM-C-8,POLVO,Petro Rio O&G,MAR,3-GRJ-2-RJS,3GRJ 0002 RJS,14/07/1995,07/08/1995,07/08/1995,"-23:06:30,316","-40:57:32,820","-23:06:30,316","-40:57:32,820",,,2500,2500,2499.1,0,118,27,PETROBRAS XXIII
742810212400,Campos,BM-C-8,POLVO,Petro Rio O&G,MAR,3-GRJ-6DP-RJS,3GRJ 0006DPRJS,04/09/1995,17/09/1995,17/09/1995,"-23:06:30,316","-40:57:32,820","-23:06:30,316","-40:57:32,820",,,2747,2747,2482.29,0,118,27,PETROBRAS XXIII
742810213300,Campos,BO,BONITO,Trident Energy,MAR,4-RJS-431-RJ,4RJS 0431 RJ,12/11/1995,05/12/1995,05/12/1995,"-22:44:11,192","-40:39:44,730","-22:44:11,192","-40:39:44,730",,,2719,2719,2713.45,,210,24,ALASKAN STAR
