Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
081160156600,Alagoas,Brasil,,,MAR,1-ALS-3-AL,1ALS 0003 AL,18/12/1972,28/02/1973,28/02/1973,"-10:07:17,950","-35:55:53,631","-10:07:17,950","-35:55:53,631",,,,3099,3099,,36,24,
081150080500,Alagoas,Brasil,,,TERRA,1-LSM-1-AL,1LSM 0001 AL,18/06/1972,02/10/1972,02/10/1972,"-09:50:28,860","-36:03:31,024","-09:50:28,860","-36:03:31,024",,,,3022,3022,,,95,SONDA CONVENCIONAL 50
081150080100,Alagoas,FU,FURADO,Petrobras,TERRA,3-FU-9-AL,3FU 0009 AL,26/04/1972,21/06/1972,21/06/1972,"-09:45:11,727","-36:09:05,059","-09:45:11,727","-36:09:05,059",,,,1862,1862,,,92,SONDA CONVENCIONAL 59
081150078500,Alagoas,FU,FURADO,Petrobras,TERRA,4-FU-8-AL,4FU 0008 AL,25/02/1972,10/04/1972,10/04/1972,"-09:46:19,988","-36:11:17,386","-09:46:19,988","-36:11:17,386",,,,1866,1866,,,119,SONDA CONVENCIONAL 59
081150081200,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-10D-AL,7FU 0010D AL,22/11/1972,31/12/1972,31/12/1972,"-09:45:51,933","-36:09:06,802","-09:45:51,933","-36:09:06,802",,,,1673,1626.63,,,15,SONDA CONVENCIONAL 40
081150081100,Alagoas,,,,TERRA,1-FPB-1-AL,1FPB 0001 AL,15/11/1972,27/02/1973,27/02/1973,"-09:44:24,075","-36:04:14,686","-09:44:24,075","-36:04:14,686",,,0,3386,3386,0,0,119,SONDA CONVENCIONAL 50
202660264400,Almada,Brasil,,,MAR,1-BAS-14-BA,1BAS 0014 BA,06/05/1972,01/07/1972,01/07/1972,"-14:37:03,431","-38:55:16,990","-14:37:03,431","-38:55:16,990",,,2071,2071,2064.64,,49,10,
140300029000,Amazonas,Brasil,,,TERRA,1-LC-2-AM,1LC 0002 AM,19/08/1972,03/12/1972,03/12/1972,"-03:41:19,092","-60:22:49,799","-03:41:19,091","-60:22:49,799",,,1981,1981,1981,,,34,SONDA CONVENCIONAL 24
500800028900,Barreirinhas,Brasil,,,TERRA,1-PT-1-MA,1PT 0001 MA,14/05/1972,20/06/1972,20/06/1972,"-02:32:31,828","-43:07:49,123","-02:32:31,827","-43:07:49,122",,,2572,2572,2572,,,20,SONDA CONVENCIONAL 35
742810034700,Campos,Brasil,,,MAR,1-RJS-3B-RJ,1RJS 0003B RJ,17/05/1972,02/06/1972,02/06/1972,"-22:12:46,334","-40:41:31,841","-22:12:46,334","-40:41:31,841",,,1055,1055,1055,,58,24.79999,
742810034500,Campos,Brasil,,,MAR,1-RJS-4A-RJ,1RJS 0004A RJ,01/03/1972,12/05/1972,12/05/1972,"-21:45:10,833","-40:19:45,951","-21:45:10,833","-40:19:45,951",,,3404,3404,3404,,46,24,
742810034400,Campos,Brasil,,,MAR,1-RJS-4-RJ,1RJS 0004 RJ,01/02/1972,26/02/1972,26/02/1972,"-21:45:10,833","-40:19:45,951","-21:45:10,833","-40:19:45,951",,,1503,1503,1503,,46,24,
742810035100,Campos,Brasil,,,MAR,1-RJS-5A-RJ,1RJS 0005A RJ,20/08/1972,23/09/1972,23/09/1972,"-22:12:16,638","-40:23:13,531","-22:12:16,638","-40:23:13,531",,,338,338,338,,80,8.39999,
742810035300,Campos,Brasil,,,MAR,1-RJS-5B-RJ,1RJS 0005B RJ,19/10/1972,08/02/1973,08/02/1973,"-22:12:16,638","-40:23:13,531","-22:12:16,638","-40:23:13,531",,,3897,3897,3897,,80,8,
742810035000,Campos,Brasil,,,MAR,1-RJS-5-RJ,1RJS 0005 RJ,29/07/1972,09/08/1972,09/08/1972,"-22:12:16,638","-40:23:13,531","-22:12:16,638","-40:23:13,531",,,161,161,161,,80,8.39999,
742810034800,Campos,Brasil,,,MAR,1-RJS-8-RJ,1RJS 0008 RJ,12/06/1972,23/07/1972,23/07/1972,"-21:57:35,473","-40:30:06,558","-21:57:35,473","-40:30:06,558",,,3900,3900,3900,,41,24,
742810034300,Campos,Brasil,,,MAR,4-RJS-6-RJ,4RJS 0006 RJ,20/01/1972,29/01/1972,29/01/1972,"-22:11:18,486","-40:36:25,903","-22:11:18,486","-40:36:25,903",,,1548,1548,1548,,61,24,
300960009400,Ceará,Brasil,,,MAR,1-CES-2-CE,1CES 0002 CE,03/02/1972,08/07/1972,08/07/1972,"-02:32:31,389","-39:41:43,142","-02:32:31,389","-39:41:43,142",,,3769,3769,3769,,23,22,
300960010900,Ceará,Brasil,,,MAR,1-CES-4-CE,1CES 0004 CE,11/07/1972,08/10/1972,08/10/1972,"-02:41:36,463","-39:56:36,940","-02:41:36,463","-39:56:36,940",,,3160,3160,3160,,10,22,
202560264900,Cumuruxatiba,ARR,ARRAIA,Petrobras,MAR,1-BAS-11-BAS,1BAS 0011 BA,14/05/1972,27/08/1972,27/08/1972,"-17:23:16,793","-38:46:08,237","-17:23:16,793","-38:46:08,237",,,3330,3330,3326.1,0,25,21,PETROBRAS I
202560265200,Cumuruxatiba,Brasil,,,MAR,1-BAS-12-BA,1BAS 0012 BA,21/05/1972,20/06/1972,20/06/1972,"-17:06:24,995","-38:54:49,267","-17:06:24,995","-38:54:49,267",,,1449.5,1449.5,1449.35,,22.8,18.2,
202560266000,Cumuruxatiba,Brasil,,,MAR,1-BAS-16-BA,1BAS 0016 BA,31/07/1972,12/10/1972,12/10/1972,"-17:17:36,465","-38:41:53,529","-17:17:36,465","-38:41:53,529",,,2986,2986,2982.05,,26,23,
202560268500,Cumuruxatiba,Brasil,,,MAR,1-BAS-17-BA,1BAS 0017 BA,29/11/1972,31/12/1972,31/12/1972,"-17:06:36,031","-38:51:17,962","-17:06:36,031","-38:51:17,962",,,2293,2293,2292.4,,27,23,PETROBRAS I
202560267700,Cumuruxatiba,Brasil,,,MAR,1-BAS-6-BA,1BAS 0006 BA,19/10/1972,03/12/1972,03/12/1972,"-17:32:15,602","-38:48:45,716","-17:32:15,602","-38:48:45,716",,,2801,2801,2799.31,,26,24,
342700265400,Espírito Santo,Brasil,,,TERRA,1-BS-1-ES,1BS 0001 ES,18/06/1972,17/07/1972,17/07/1972,"-19:00:56,155","-39:50:17,968","-19:00:56,155","-39:50:17,968",,,1997,1997,1997,,,9.3,SONDA CONVENCIONAL 42
342710035500,Espírito Santo,Brasil,,,MAR,1-ESS-10-ES,1ESS 0010 ES,10/12/1972,08/01/1973,08/01/1973,"-19:22:10,718","-39:12:02,329","-19:22:10,718","-39:12:02,329",,,3008,3008,3008,,46,24,
342710035200,Espírito Santo,Brasil,,,MAR,1-ESS-7-ES,1ESS 0007 ES,01/10/1972,16/11/1972,16/11/1972,"-18:55:19,235","-39:39:43,053","-18:55:19,235","-39:39:43,053",,,3147,3147,3147,,20,23,PETROBRAS I
342700267700,Espírito Santo,Brasil,,,TERRA,1-FCO-1-ES,1FCO 0001 ES,23/10/1972,05/11/1972,05/11/1972,"-19:01:35,714","-39:49:34,296","-19:01:35,714","-39:49:34,296",,,1914,1914,1914,,,8.5,SONDA CONVENCIONAL 42
342700266300,Espírito Santo,Brasil,,,TERRA,1-LG-1D-ES,1LG 0001D ES,03/08/1972,15/09/1972,15/09/1972,"-19:05:14,549","-39:49:38,660","-19:05:14,549","-39:49:38,660",,,1956,1956,1636.52,,,8.19999,SONDA CONVENCIONAL 42
342700268500,Espírito Santo,Brasil,,,TERRA,1-SA-1DA-ES,1SA 0001DAES,17/12/1972,06/01/1973,06/01/1973,"-18:59:35,301","-39:49:09,832","-18:59:35,301","-39:49:09,832",,,2292.6,2292,1985.16,,,9.39999,SONDA CONVENCIONAL 65
342700267900,Espírito Santo,Brasil,,,TERRA,1-SA-1D-ES,1SA 0001D ES,26/10/1972,13/12/1972,13/12/1972,"-18:59:35,301","-39:49:09,832","-18:59:35,301","-39:49:09,832",,,2018,2018,1718.04,,,9.39999,SONDA CONVENCIONAL 65
342700261500,Espírito Santo,FC,FAZENDA CEDRO,Petrobras,TERRA,1-FC-1-ES,1FC 0001 ES,07/01/1972,10/02/1972,10/02/1972,"-19:02:39,260","-39:48:19,460","-19:02:39,260","-39:48:19,460",,,2228,2228,2228,,,8,SONDA CONVENCIONAL 68
342700263500,Espírito Santo,FC,FAZENDA CEDRO,Petrobras,TERRA,3-FC-2D-ES,3FC 0002D ES,03/04/1972,02/05/1972,02/05/1972,"-19:02:39,260","-39:48:19,460","-19:02:39,260","-39:48:19,460",,,2206,2206,1791.61,,,8,SONDA CONVENCIONAL 68
342700263800,Espírito Santo,FC,FAZENDA CEDRO,Petrobras,TERRA,3-FC-3-ES,3FC 0003 ES,09/04/1972,26/04/1972,26/04/1972,"-19:02:39,049","-39:48:46,718","-19:02:39,049","-39:48:46,718",,,2000,2000,2000,,,5.09999,SONDA CONVENCIONAL 65
342700264400,Espírito Santo,FC,FAZENDA CEDRO,Petrobras,TERRA,3-FC-4-ES,3FC 0004 ES,10/05/1972,26/05/1972,26/05/1972,"-19:02:13,135","-39:48:46,827","-19:02:13,135","-39:48:46,827",,,2200,2200,2200,,,8,SONDA CONVENCIONAL 65
