Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
08115025151,Alagoas,BT-SEAL-2,ANAMBÉ,Petrobras,TERRA,7-ANB-13D-AL,7ANB13DAL,29/10/2010,08/12/2010,13/12/2010,"-09:44:21,457","-36:03:24,098","-09:44:21,754","-36:03:23,944","-09:44:25,157","-36:03:27,363",2232,2000,1700,108.6,0,116,BCH ENERGY 8
08115025185,Alagoas,BT-SEAL-2,ANAMBÉ,Petrobras,TERRA,7-ANB-14D-AL,7ANB14DAL,13/11/2010,31/12/2010,05/01/2011,"-09:44:45,993","-36:03:41,027","-09:44:47,136","-36:03:43,858","-09:44:44,491","-36:03:35,693",2132,2000,1700,113.11,0,118,SONDA CONVENCIONAL 82
08115024781,Alagoas,CSM,CIDADE DE SÃO MIGUEL DOS CAMPOS,Petrobras,TERRA,3-BRSA-829DP-AL,3CSMC37DPAL,24/05/2010,21/06/2010,27/06/2010,"-09:49:11,510","-36:07:44,117","-09:49:10,910","-36:07:44,117","-09:49:27,502","-36:07:39,622",2934,2745,2520,118.1,0,127,SONDA CONVENCIONAL 109
08115024590,Alagoas,CSM,CIDADE DE SÃO MIGUEL DOS CAMPOS,Petrobras,TERRA,7-CSMC-38-AL,7CSMC38AL,24/02/2010,29/03/2010,02/04/2010,"-09:48:09,593","-37:07:09,171","-09:48:09,596","-36:07:09,139","-09:48:09,503","-36:07:09,196",2280,2280,2150,121.31,0,127,GREAT - 125
08115025239,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-157D-AL,7FU157DAL,10/12/2010,26/01/2011,30/01/2011,"-09:47:00,802","-36:07:44,852","-09:46:58,037","-36:07:44,848","-09:48:19,621","-36:07:49,923",2148.4,2200,1880,24.47,0,31,BCH ENERGY 8
08115024866,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-158D-AL,7FU158DAL,03/07/2010,26/07/2010,31/07/2010,"-09:44:49,538","-36:08:08,409","-09:44:49,589","-36:08:08,387","-09:44:51,902","-36:08:03,373",1430,1430,1200,130.23,0,135,SONDA CONVENCIONAL 82
08115024779,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-159D-AL,7FU159DAL,23/05/2010,23/06/2010,24/06/2010,"-09:44:49,529","-36:08:08,478","-09:45:29,602","-36:09:02,145","-09:45:35,277","-36:08:56,443",1774,1700,1450,67.83,0,73,SONDA CONVENCIONAL 82
08115024902,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-160D-AL,7FU160DAL,15/07/2010,07/08/2010,12/08/2010,"-09:45:41,607","-36:08:04,653","-09:45:41,601","-36:08:04,625","-09:45:35,114","-36:07:55,664",1925,2000,1850,14.78,0,24,SONDA CONVENCIONAL 109
08115024972,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-161D-AL,7FU161DAL,12/08/2010,03/09/2010,05/09/2010,"-09:45:54,381","-36:08:07,756","-09:45:53,358","-36:08:07,317","-09:45:48,745","-36:08:07,378",1581,1600,1470,9.25,0,14,SONDA CONVENCIONAL 91
08115024952,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-162D-AL,7FU162DAL,05/08/2010,05/09/2010,07/10/2010,"-09:45:35,370","-36:10:25,621","-09:45:35,370","-36:10:25,621","-09:45:35,664","-36:10:29,072",1369,1600,1470,122.49,0,127,SONDA CONVENCIONAL 82
08115025103,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-163D-AL,7FU163DAL,09/10/2010,08/11/2010,12/11/2010,"-09:45:28,514","-36:07:46,995","-09:45:26,303","-36:07:47,148","-09:45:35,678","-36:07:41,977",1995,2100,1920,129.8,0,137,BCH ENERGY 8
08115025112,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-164D-AL,7FU164DAL,14/10/2010,05/11/2010,05/11/2010,"-09:46:11,744","-36:07:44,002","-09:46:11,131","-36:07:43,184","-09:46:07,983","-36:07:53,920",1524,1450,1400,16.94,0,22,SONDA CONVENCIONAL 82
08115025036,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-165D-AL,7FU165DAL,10/09/2010,19/10/2010,21/10/2010,"-09:45:04,875","-36:07:55,230","-09:45:06,749","-36:07:54,463","-09:45:11,116","-36:07:44,493",1809,1700,1470,129.52,0,135,SONDA CONVENCIONAL 91
08115025046,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-166D-AL,7FU166DAL,12/09/2010,06/10/2010,09/10/2010,"-09:46:23,032","-36:07:55,839","-09:46:22,309","-36:07:55,867","-09:46:20,908","-36:07:50,808",1581,1650,1450,25.49,0,30,SONDA CONVENCIONAL 82
