Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
081150368400,Alagoas,Brasil,,,TERRA,1-LM-2D-AL,1LM 0002D AL,29/06/1989,11/09/1989,11/09/1989,"-09:38:34,533","-35:56:34,775","-09:38:34,533","-35:56:34,775",,,,3980,3779.26,,,16,SONDA CONVENCIONAL 110
081150363100,Alagoas,Brasil,,,TERRA,1-MAS-1-AL,1MAS 0001 AL,20/01/1989,11/06/1989,11/06/1989,"-09:44:24,952","-35:49:43,854","-09:44:24,952","-35:49:43,854",,,,4468,4468,,,16,SONDA CONVENCIONAL 110
081150818100,Alagoas,Brasil,,,TERRA,9-MINA-20D-AL,9MINA0020D AL,27/01/1989,19/02/1989,19/02/1989,"-09:38:09,368","-35:44:58,742","-09:38:09,368","-35:44:58,742",,,,1254,1241.24,,,8,SONDA CONVENCIONAL 92
081150818000,Alagoas,Brasil,,,TERRA,9-MINA-22-AL,9MINA0022 AL,08/01/1989,22/01/1989,22/01/1989,"-09:38:15,545","-35:44:54,619","-09:38:15,545","-35:44:54,619",,,,1180,1179.5,,,8,SONDA CONVENCIONAL 92
081150364600,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-125-AL,7FU 0125 AL,26/02/1989,13/03/1989,13/03/1989,"-09:44:34,578","-36:07:49,406","-09:44:34,578","-36:07:49,406",,,,1310,1310,,,133,SONDA CONVENCIONAL 92
081150367900,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-126-AL,7FU 0126 AL,11/06/1989,07/07/1989,07/07/1989,"-09:46:21,255","-36:10:57,164","-09:46:21,255","-36:10:57,164",,,,2250,2227.56,,,90,SONDA CONVENCIONAL 26
081150368800,Alagoas,PIR,PILAR,Petrobras,TERRA,1-FP-2D-AL,1FP 0002D AL,23/10/1989,30/12/1989,30/12/1989,"-09:38:58,882","-35:56:06,422","-09:38:58,882","-35:56:06,422",,,,3201,3113.78,,,26,SONDA CONVENCIONAL 26
600300062600,Amazonas,Brasil,,,TERRA,1-SP-1-PA,1SP 0001 PA,01/12/1989,24/03/1990,24/03/1990,"-03:21:23,270","-54:56:58,598","-03:21:23,270","-54:56:58,599",,,3290,3290,3290,,,184.5,
600300061700,Amazonas,Brasil,,,TERRA,1-TU-1-PA,1TU 0001 PA,04/05/1989,12/08/1989,12/08/1989,"-03:09:05,575","-54:03:18,865","-03:09:05,575","-54:03:18,866",,,2914,2914,2914,,,183.5,
742810182100,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-7DA-RJS,7AB 0007DARJS,27/09/1989,28/10/1989,28/10/1989,"-22:07:47,568","-39:56:03,766","-22:07:47,568","-39:56:03,766",,,3364,3364,2838.55,,439,25,PETROBRAS X
