Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
040100049100,Acre,Brasil,,,TERRA,1-SD-1-AC,1SD 0001 AC,10/03/1983,28/05/1983,28/05/1983,"-08:10:45,162","-73:22:36,369","-08:10:45,163","-73:22:36,371",,,,3119,3119,,,247,
081160248700,Alagoas,Brasil,,,MAR,1-ALS-23-AL,1ALS 0023 AL,25/10/1983,06/02/1984,06/02/1984,"-10:22:05,417","-36:05:05,250","-10:22:05,417","-36:05:05,250",,,,3482,3482,,25,27,
081160244800,Alagoas,Brasil,,,MAR,1-ALS-27-AL,1ALS 0027 AL,04/09/1983,28/10/1983,28/10/1983,"-10:22:28,436","-36:06:45,150","-10:22:28,436","-36:06:45,150",,,,2800,2800,,28,25,
081160233600,Alagoas,Brasil,,,MAR,1-ALS-28-AL,1ALS 0028 AL,07/04/1983,22/05/1983,22/05/1983,"-10:16:40,272","-36:11:14,935","-10:16:40,272","-36:11:14,935",,,,2600,2600,,15,18,PETROBRAS I
081160711800,Alagoas,Brasil,,,MAR,1-ALS-31-AL,1ALS 0031 AL,31/10/1983,07/12/1983,07/12/1983,"-09:42:58,213","-35:25:45,800","-09:42:58,213","-35:25:45,800",,,,2000,2000,,46,24.7,
081150229200,Alagoas,Brasil,,,TERRA,1-LD-1-AL,1LD 0001 AL,01/02/1983,28/04/1983,28/04/1983,"-09:56:56,242","-35:58:55,086","-09:56:56,242","-35:58:55,086",,,,3626,3626,,,51,QUEIROZ GALVÃO 01
081150249400,Alagoas,Brasil,,,TERRA,1-PE-2-AL,1PE 0002 AL,31/10/1983,27/12/1983,27/12/1983,"-09:28:42,591","-35:36:48,190","-09:28:42,591","-35:36:48,190",,,,3578,3578,,,40,QUEIROZ GALVÃO 02
081150248100,Alagoas,Brasil,,,TERRA,1-RPI-1-AL,1RPI 0001 AL,17/10/1983,26/11/1983,26/11/1983,"-09:43:04,657","-36:06:15,603","-09:43:04,657","-36:06:15,603",,,,2761,2761,,,139,QUEIROZ GALVÃO 01
081150241100,Alagoas,Brasil,,,TERRA,1-UCA-1-AL,1UCA 0001 AL,07/07/1983,26/09/1983,26/09/1983,"-09:45:48,957","-36:05:49,699","-09:45:48,957","-36:05:49,699",,,,2795,2795,,,86,SONDA CONVENCIONAL 50
081150235500,Alagoas,Brasil,,,TERRA,1-VJ-4-AL,1VJ 0004 AL,27/04/1983,20/06/1983,20/06/1983,"-10:00:40,017","-36:02:35,144","-10:00:40,017","-36:02:35,144",,,,2998,2998,,,44,SONDA CONVENCIONAL 50
081150060100,Alagoas,Brasil,,,TERRA,9-MINA-11-AL,9MINA0011 AL,10/01/1983,17/03/1983,17/03/1983,"-09:38:25,262","-35:44:45,033","-09:38:25,262","-35:44:45,033",,,,1122,1122,,,8,
081150227800,Alagoas,CS,COQUEIRO SECO,Petrosynergy,TERRA,7-CS-14D-AL,7CS 0014D AL,15/01/1983,21/01/1983,21/01/1983,"-09:39:17,819","-35:47:38,957","-09:39:17,819","-35:47:38,957",,,,882,847.77,,,95.5,SONDA CONVENCIONAL 92
081150228600,Alagoas,CS,COQUEIRO SECO,Petrosynergy,TERRA,7-CS-15-AL,7CS 0015 AL,24/01/1983,29/01/1983,29/01/1983,"-09:39:22,924","-35:47:47,230","-09:39:22,924","-35:47:47,230",,,,921,921,,,94,SONDA CONVENCIONAL 92
081150235300,Alagoas,CSM,CIDADE DE SÃO MIGUEL DOS CAMPOS,Petrobras,TERRA,3-CSMC-30-AL,3CSMC0030 AL,23/04/1983,30/05/1983,30/05/1983,"-09:48:01,761","-36:06:28,138","-09:48:01,761","-36:06:28,138",,,,2837,2837,,,118,SONDA CONVENCIONAL 26
081150242200,Alagoas,FPB,FAZENDA PAU BRASIL,Petrosynergy,TERRA,4-FPB-6-AL,4FPB 0006 AL,23/07/1983,24/08/1983,24/08/1983,"-09:47:20,976","-36:03:33,624","-09:47:20,975","-36:03:33,625",,,,2885,2885,0,0,58,QUEIROZ GALVÃO 01
081150252200,Alagoas,FPB,FAZENDA PAU BRASIL,Petrosynergy,TERRA,7-FPB-8-AL,7FPB 0008 AL,03/12/1983,11/12/1983,11/12/1983,"-09:45:16,782","-36:04:10,067","-09:45:16,782","-36:04:10,067",,,,1400,1400,,,116.5,SONDA CONVENCIONAL 26
081150243800,Alagoas,FU,FURADO,Petrobras,TERRA,3-FU-90-AL,3FU 0090 AL,23/08/1983,16/09/1983,16/09/1983,"-09:46:34,205","-36:09:18,274","-09:46:34,205","-36:09:18,274",,,,1896,1896,,,39,SONDA CONVENCIONAL 26
081150246500,Alagoas,FU,FURADO,Petrobras,TERRA,3-FU-91-AL,3FU 0091 AL,25/09/1983,10/10/1983,10/10/1983,"-09:43:51,439","-36:07:32,131","-09:43:51,439","-36:07:32,131",,,,1557,1557,,,132,SONDA CONVENCIONAL 26
081150227900,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-87-AL,7FU 0087 AL,16/01/1983,02/02/1983,02/02/1983,"-09:46:15,783","-36:07:57,517","-09:46:15,783","-36:07:57,517",,,,1868,1868,,,26,SONDA CONVENCIONAL 40
081150229300,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-88D-AL,7FU 0088D AL,04/02/1983,26/02/1983,26/02/1983,"-09:45:36,655","-36:08:52,012","-09:45:36,655","-36:08:52,012",,,,1694,1626.94,,,45,SONDA CONVENCIONAL 92
