Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
202650186700,Almada,Brasil,,,TERRA,2-NBST-1-BA,2NBST0001 BA,11/01/1966,01/04/1966,01/04/1966,"-14:38:40,232","-39:03:54,346","-14:38:40,232","-39:03:54,346",,,1464.1,1464.1,1456.06,,,8,SONDA CONVENCIONAL 29
202650193100,Almada,Brasil,,,TERRA,2-NBST-1D-BA,2NBST0001D BA,05/05/1966,19/08/1966,19/08/1966,"-14:38:40,232","-39:03:54,346","-14:38:40,232","-39:03:54,346",,,1495.6,1495.6,1451.59,,,8,SONDA CONVENCIONAL 29
140300023800,Amazonas,Brasil,,,TERRA,1-PFJ-3-AM,1PFJ 0003 AM,05/11/1966,17/12/1967,17/12/1967,"-02:12:24,390","-56:24:53,442","-02:12:24,391","-56:24:53,443",,,2854,2854,2854,,,14.39999,SONDA CONVENCIONAL 26
600300022200,Amazonas,Brasil,,,TERRA,2-ALST-1-PA,2ALST0001 PA,06/01/1966,15/06/1966,15/06/1966,"-01:31:59,274","-52:37:06,753","-01:31:59,273","-52:37:06,753",,,2909,2909,2909,,,26,SONDA CONVENCIONAL 26
500800023500,Barreirinhas,Brasil,,,TERRA,1-BG-2-MA,1BG 0002 MA,04/10/1966,22/04/1967,22/04/1967,"-02:50:16,758","-42:19:40,567","-02:50:16,759","-42:19:40,566",,,2555,2555,2555,,,15.6,SONDA CONVENCIONAL 35
500800022400,Barreirinhas,Brasil,,,TERRA,1-MU-1-MA,1MU 0001 MA,09/03/1966,11/10/1966,11/10/1966,"-02:38:04,674","-42:46:06,187","-02:38:04,673","-42:46:06,185",,,3702.7,3702.7,3702.7,,,17,SONDA CONVENCIONAL 24
500800023200,Barreirinhas,Brasil,,,TERRA,1-RA-1-MA,1RA 0001 MA,21/06/1966,07/08/1966,07/08/1966,"-02:40:22,227","-43:27:34,754","-02:40:22,229","-43:27:34,753",,,2100,2100,2100,,,25,
500800023400,Barreirinhas,Brasil,,,TERRA,1-TA-2-MA,1TA 0002 MA,09/08/1966,15/12/1966,15/12/1966,"-02:51:26,199","-42:18:13,425","-02:51:26,198","-42:18:13,423",,,2403.5,2403.5,2403.5,,,26,SONDA CONVENCIONAL 22
500800023900,Barreirinhas,Brasil,,,TERRA,2-ANST-1-MA,2ANST0001 MA,16/11/1966,24/12/1966,24/12/1966,"-02:43:38,123","-43:17:48,398","-02:43:38,121","-43:17:48,398",,,1172.6,1172.6,1172.6,,,42,
500800023300,Barreirinhas,Brasil,,,TERRA,2-ICAS-1A-MA,2ICAS0001A MA,23/06/1966,21/11/1966,21/11/1966,"-02:44:55,541","-41:59:09,805","-02:44:55,540","-41:59:09,803",,,1791.5,1791.5,1791.5,,,5,SONDA CONVENCIONAL 44
500800023100,Barreirinhas,Brasil,,,TERRA,2-ICAS-1-MA,2ICAS0001 MA,15/05/1966,28/05/1966,28/05/1966,"-02:44:55,541","-41:59:09,805","-02:44:55,541","-41:59:09,803",,,224,224,224,,,5,SONDA CONVENCIONAL 44
500800022300,Barreirinhas,Brasil,,,TERRA,9-PRN-7-MA,9PRN 0007 MA,09/02/1966,20/02/1966,20/02/1966,"-02:44:31,306","-42:56:20,725","-02:44:31,306","-42:56:20,726",,,553,553,553,,,19.79999,SONDA CONVENCIONAL 63
500800023000,Barreirinhas,Brasil,,,TERRA,9-PRN-8-MA,9PRN 0008 MA,12/05/1966,12/06/1966,12/06/1966,"-02:41:41,509","-42:57:29,073","-02:41:41,510","-42:57:29,073",,,503,503,503,,,37.9,SONDA CONVENCIONAL 63
500800022600,Barreirinhas,Brasil,,,TERRA,9-PRN-9A-MA,9PRN 0009A MA,31/03/1966,06/04/1966,06/04/1966,"-02:42:12,401","-42:55:58,175","-02:42:12,399","-42:55:58,175",,,245,245,245,,,36.2,SONDA CONVENCIONAL 63
500800022700,Barreirinhas,Brasil,,,TERRA,9-PRN-9B-MA,9PRN 0009B MA,04/05/1966,06/05/1966,06/05/1966,"-02:42:12,430","-42:55:58,201","-02:42:12,429","-42:55:58,201",,,56,56,56,,,39.09999,SONDA CONVENCIONAL 63
500800022500,Barreirinhas,Brasil,,,TERRA,9-PRN-9-MA,9PRN 0009 MA,10/03/1966,22/03/1966,22/03/1966,"-02:41:57,328","-42:55:54,305","-02:41:57,328","-42:55:54,304",,,204.9,204.9,204.9,,,35.09999,SONDA CONVENCIONAL 63
500800023600,Barreirinhas,,SÃO JOÃO,,TERRA,1-SJ-3-MA,1SJ 0003 MA,04/10/1966,27/11/1966,27/11/1966,"-02:34:37,682","-43:20:05,555","-02:34:37,682","-43:20:05,555",,,2058.9,2058.9,2058.9,0,0,14.7,
202500205500,Jequitinhonha,Brasil,,,TERRA,2-SAST-1-BA,2SAST0001 BA,27/12/1966,03/04/1967,03/04/1967,"-15:41:02,871","-38:58:51,949","-15:41:02,871","-38:58:51,949",,,3618.1,3618.1,3614.86,,,8,SONDA CONVENCIONAL 29
823000707900,Paraná,Brasil,,,TERRA,1-TP-2-SC,1TP 0002 SC,03/08/1966,01/03/1967,01/03/1967,"-26:44:48,957","-51:29:50,394","-26:44:48,957","-51:29:50,394",,,2504.6,2504.6,2504.6,,,1273,SONDA CONVENCIONAL 16
823000708000,Paraná,Brasil,,,TERRA,2-MC-1-SC,2MC 0001 SC,24/04/1966,11/01/1967,11/01/1967,"-26:35:25,714","-51:06:57,947","-26:35:25,714","-51:06:57,947",,,1967.1,1967.1,1967.1,,,1181,SONDA CONVENCIONAL 43
500900022800,Parnaíba,Brasil,,,TERRA,1-TM-1-MA,1TM 0001 MA,06/05/1966,04/08/1966,04/08/1966,"-08:42:31,714","-46:54:25,873","-08:42:31,713","-46:54:25,872",,,1688.4,1688.4,1688.4,,,634,SONDA CONVENCIONAL 15
500900022900,Parnaíba,Brasil,,,TERRA,2-BJST-1-MA,2BJST0001 MA,08/05/1966,15/06/1966,15/06/1966,"-02:50:16,736","-43:14:00,287","-02:50:16,735","-43:14:00,286",,,716,716,716,,,65,
500900023700,Parnaíba,Brasil,,,TERRA,2-VBST-1-MA,2VBST0001 MA,16/10/1966,21/12/1966,21/12/1966,"-07:28:16,696","-46:18:35,724","-07:28:16,696","-46:18:35,725",,,1940.7,1940.7,1940.7,,,392,SONDA CONVENCIONAL 15
721000900100,Potiguar,Brasil,,,TERRA,9-BM-1-RN,9BM 0001 RN,10/06/1966,01/07/1966,01/07/1966,"-05:15:21,331","-36:21:06,268","-05:15:21,331","-36:21:06,268",,,,443,443,,,40,
721000816400,Potiguar,Brasil,,,TERRA,9-QM-1-RN,9QM 0001 RN,17/01/1966,25/04/1966,25/04/1966,"-05:21:56,837","-35:52:49,138","-05:21:56,837","-35:52:49,138",,,,290,290,,,180,
721000904100,Potiguar,Brasil,,,TERRA,9-Q-1-RN,9Q 0001 RN,10/02/1966,31/03/1966,31/03/1966,"-05:24:42,436","-36:30:16,707","-05:24:42,436","-36:30:16,707",,,,85.7,85.7,,,96.09999,
721000816500,Potiguar,Brasil,,,TERRA,9-SVD-1-RN,9SVD 0001 RN,05/05/1966,16/07/1966,16/07/1966,"-05:18:01,944","-36:16:20,958","-05:18:01,944","-36:16:20,958",,,,380,380,,,55,
721000900200,Potiguar,MO,MOSSORÓ,Petrobras,TERRA,9-MOD-1-RN,9MOD 0001 RN,01/07/1966,01/12/1966,01/12/1966,"-05:12:55,130","-37:21:43,802","-05:12:55,130","-37:21:43,802",,,,423,423,,,13,
721000900300,Potiguar,MO,MOSSORÓ,Petrobras,TERRA,9-MOD-2-RN,9MOD 0002 RN,01/08/1966,01/01/1967,01/01/1967,"-05:12:41,867","-37:20:01,441","-05:12:41,867","-37:20:01,441",,,,248,248,,,25.7,
721000900400,Potiguar,,CARNAUBAIS,,TERRA,9-CB-1-RN,9CB 0001 RN,01/12/1966,01/01/1967,01/01/1967,"-05:20:38,862","-36:49:18,867","-05:20:38,862","-36:49:18,867",,,0,634,634,0,0,16,
202400204400,Recôncavo,AR,ARAÇÁS,Petrobras,TERRA,3-AR-12-BA,3AR 0012 BA,11/12/1966,23/04/1967,23/04/1967,"-12:10:05,900","-38:10:09,178","-12:10:05,900","-38:10:09,178",,,3225.4,3225.4,3213.44,,,85,SONDA CONVENCIONAL 34
202400201500,Recôncavo,AR,ARAÇÁS,Petrobras,TERRA,3-FBE-2-BA,3FBE 0002 BA,28/10/1966,01/01/1967,01/01/1967,"-12:09:21,702","-38:11:31,832","-12:09:22,146","-38:11:31,437",,,3088,3088,3086.79,0,0,105,
202400195400,Recôncavo,AR,ARAÇÁS,Petrobras,TERRA,7-AR-10-BA,7AR 0010 BA,19/06/1966,21/09/1966,21/09/1966,"-12:09:13,789","-38:09:41,895","-12:09:13,789","-38:09:41,895",,,3211,3211,3206.25,,,156.6,
202400196600,Recôncavo,AR,ARAÇÁS,Petrobras,TERRA,7-AR-11-BA,7AR 0011 BA,19/07/1966,29/11/1966,29/11/1966,"-12:09:13,718","-38:09:16,971","-12:09:13,718","-38:09:16,971",,,3270,3270,3270,,,162.3,SONDA CONVENCIONAL 60
202400191100,Recôncavo,AR,ARAÇÁS,Petrobras,TERRA,7-AR-8-BA,7AR 0008 BA,01/04/1966,06/08/1966,06/08/1966,"-12:08:47,127","-38:10:08,991","-12:08:47,127","-38:10:08,991",,,3180,3180,3171.87,,,122.59999,SONDA CONVENCIONAL 25
202400194700,Recôncavo,AR,ARAÇÁS,Petrobras,TERRA,7-AR-9-BA,7AR 0009 BA,10/06/1966,05/10/1966,05/10/1966,"-12:07:57,348","-38:09:42,395","-12:07:57,348","-38:09:42,395",,,2892.2,2892.2,2884.3,,,109.3,SONDA CONVENCIONAL 34
202400200800,Recôncavo,ARL,,Egesa,TERRA,1-ARL-1-BA,1ARL 0001 BA,18/10/1966,08/03/1967,08/03/1967,"-12:08:17,831","-38:06:57,458","-12:08:17,831","-38:06:57,458",,,3652.7,3652.7,3652.7,0,0,89.5,
202400189500,Recôncavo,Brasil,,,TERRA,1-CRO-1-BA,1CRO 0001 BA,10/03/1966,09/06/1966,09/06/1966,"-11:55:45,754","-37:55:10,965","-11:55:45,754","-37:55:10,965",,,2174.3,2174.3,2174.3,,,69.9,SONDA CONVENCIONAL 27
202400198500,Recôncavo,Brasil,,,TERRA,1-CZ-1-BA,1CZ 0001 BA,29/08/1966,04/02/1967,04/02/1967,"-12:41:25,823","-38:24:45,843","-12:41:25,823","-38:24:45,843",,,4434.5,4434.5,4403.89,,,65,SONDA CONVENCIONAL 58
202400200900,Recôncavo,Brasil,,,TERRA,1-CZ-2-BA,1CZ 0002 BA,18/10/1966,04/11/1966,04/11/1966,"-12:41:24,369","-38:24:46,531","-12:41:24,369","-38:24:46,531",,,1287.4,1287.4,1283.02,,,53.4,
202400200000,Recôncavo,Brasil,,,TERRA,1-MU-2-BA,1MU 0002 BA,27/09/1966,29/10/1966,29/10/1966,"-12:18:02,444","-38:28:14,362","-12:18:02,444","-38:28:14,362",,,2036.9,2036.9,2036.9,,,181.6,SONDA CONVENCIONAL 53
