Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
081150398100,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-153D-AL,7PIR 0153D AL,27/01/1999,05/03/1999,05/03/1999,"-09:35:19,605","-35:53:54,551","-09:35:19,605","-35:53:54,551",,,,2030,1756.5,,,114,SONDA CONVENCIONAL 91
081150398500,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-154D-AL,7PIR 0154D AL,19/12/1999,02/02/2000,02/02/2000,"-09:37:40,894","-35:53:45,628","-09:37:41,125","-35:53:46,931",,,0,2063,2029.22,0,0,112,SONDA CONVENCIONAL 91
081150398300,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-155D-AL,7PIR 0155D AL,30/08/1999,11/10/1999,11/10/1999,"-09:36:43,939","-35:53:31,639","-09:36:43,939","-35:53:31,639",,,,2095,,,,112,SONDA CONVENCIONAL 91
081150398400,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-156D-AL,7PIR 0156D AL,26/10/1999,11/12/1999,11/12/1999,"-09:36:02,826","-35:55:05,565","-09:36:02,826","-35:55:05,565",,,,1620,,,,119,SONDA CONVENCIONAL 91
081160398200,Alagoas,SEAL-30,,Petrobras,MAR,4-ALS-50-AL,4ALS 0050 AL,08/04/1999,28/04/1999,28/04/1999,"-10:24:45,196","-36:15:35,242","-10:24:45,196","-36:15:35,242",,,,2638,2638,,21,23,NORTH STAR I
202660589000,Almada,BALM-200,,Petrobras,MAR,1-BAS-126-BAS,1BAS 0126 BA,13/12/1999,26/01/2000,02/02/2000,"-14:29:14,724","-38:35:31,647","-14:29:14,724","-38:35:31,647",,,3438,3438,3436.23,0,1801,14,PARAGON DPDS3 (NOBLE ROGER EASON)
140300074600,Amazonas,BA-1,,Petrobras,TERRA,1-ATZ-1-AM,1ATZ 0001 AM,13/03/1999,19/07/1999,19/07/1999,"-04:08:48,468","-59:52:38,013","-04:08:48,468","-59:52:38,014",,,2623,2623,2623,,,35,QUEIROZ GALVÃO 04 (QG-04)
140300075100,Amazonas,BA-1,,Petrobras,TERRA,1-CAP-1-AM,1CAP 0001 AM,21/12/1999,04/02/2000,04/02/2000,"-03:30:03,925","-59:20:41,111","-03:30:03,925","-59:20:41,112",,,2130,2130,2130,,,30,QUEIROZ GALVÃO 03 (QG-03)
140300074800,Amazonas,BA-3,,Petrobras,TERRA,1-ITP-1-AM,1ITP 0001 AM,19/04/1999,03/08/1999,03/08/1999,"-02:42:56,309","-58:02:57,952","-02:42:56,314","-58:02:58,753",,,2683,2683,2683,0,0,33,QUEIROZ GALVÃO 01
140300074900,Amazonas,BA-3,,Petrobras,TERRA,1-LSA-1-AM,1LSA 0001 AM,22/08/1999,28/10/1999,28/10/1999,"-02:48:36,854","-58:21:31,891","-02:48:36,856","-58:21:32,690",,,2851,2851,2851,0,0,98,QUEIROZ GALVÃO 02
600300075000,Amazonas,BA-4,,Petrobras,TERRA,1-JUT-1-PA,1JUT 0001 PA,25/08/1999,08/11/1999,08/11/1999,"-03:18:54,504","-56:38:05,150","-03:18:54,503","-56:38:05,152",,,3342,3342,3342,,,56,QUEIROZ GALVÃO 03 (QG-03)
742810236100,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-59H-RJS,7AB 0059H RJS,31/05/1999,29/07/1999,29/07/1999,"-22:08:04,923","-39:59:14,252","-22:08:04,923","-39:59:14,252",,,4016,4016,3254.46,0,296,27,OCEAN WHITTINGTON
742810235400,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-61D-RJS,7AB 0061D RJS,12/04/1999,24/05/1999,24/05/1999,"-22:09:25,102","-39:56:14,398","-22:09:25,102","-39:56:14,398",,,3375,3375,2726.55,0,454,25,PETROBRAS XVII
742810237900,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-62HP-RJS,7AB 0062HPRJS,18/09/1999,14/12/1999,14/12/1999,"-22:08:04,923","-39:59:14,252","-22:08:04,923","-39:59:14,252",,,4257,4257,3257.43,0,296,27,OCEAN WHITTINGTON
742810238300,Campos,ABL,ALBACORA LESTE,Petrobras,MAR,6-ABL-1-RJS,6ABL 0001 RJS,24/10/1999,13/11/1999,13/11/1999,"-22:04:01,093","-39:47:36,353","-22:04:01,093","-39:47:36,353","-22:04:01,092","-39:47:36,353",3654,3654,3653.73,0,1553,25,SEDCO 707
742810234000,Campos,BC-200,,Petrobras,MAR,1-RJS-531-RJ,1RJS 0531 RJ,25/01/1999,11/04/1999,11/04/1999,"-23:00:24,221","-40:25:50,892","-23:00:24,221","-40:25:50,892",,,5078,5078,5077.18,,1939,24,SEDCO 707
