Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
08115028518,Alagoas,SEAL-T-112,,Petrobras,TERRA,1-BRSA-1327D-AL,1LPIR1DAL,24/10/2015,17/11/2015,24/11/2015,"-09:35:24,827","-35:51:03,558","-09:35:24,827","-35:51:03,558","-09:35:14,968","-35:51:14,215",2502.2,2468,2100,106.2,0,115.7,SONDA CONVENCIONAL 108
08115028346,Alagoas,SEAL-T-177,,Petrobras,TERRA,1-BRSA-1315-AL,1OSMC1AL,04/08/2015,13/09/2015,22/09/2015,"-09:50:32,789","-36:09:38,373","-09:50:32,702","-36:09:38,426","-09:50:28,609","-36:09:43,367",2901,2670,2560,113.4,0,122.8,SONDA CONVENCIONAL 108
08115028604,Alagoas,SEAL-T-61,,Petrobras,TERRA,1-BRSA-1337-AL,1BAB1AL,27/12/2015,02/02/2016,09/02/2016,"-09:16:53,340","-35:31:52,900","-09:16:52,926","-35:31:52,356","-09:16:47,255","-35:31:53,783",2405,3080,3050,27,0,36.2,SONDA CONVENCIONAL 109
08115028260,Alagoas,,PILAR,Petrobras,TERRA,4-BRSA-1309-AL,4PIR292AL,12/06/2015,22/10/2015,01/11/2015,"-09:36:45,207","-35:52:50,184","-09:36:45,207","-35:52:50,184","-09:36:45,234","-35:52:50,270",4433,4601,4500,102.1,0,111.5,SONDA CONVENCIONAL 108
08115028053,Alagoas,,PILAR,Petrobras,TERRA,7-PIR-271D-AL,7PIR271DAL,29/01/2015,24/02/2015,27/02/2015,"-09:36:58,969","-35:54:03,382","-09:36:58,597","-35:54:02,551","-09:36:58,883","-35:53:50,008",2671,2500,2350,106.4,0,115.8,SONDA CONVENCIONAL 108
08115028184,Alagoas,,PILAR,Petrobras,TERRA,7-PIR-276D-AL,7PIR276DAL,06/03/2015,27/03/2015,30/03/2015,"-09:36:04,035","-35:55:32,500","-09:36:04,242","-35:55:31,292","-09:36:15,018","-35:55:02,676",2424,2100,1800,116.84,0,126.24,SONDA CONVENCIONAL 108
08115028185,Alagoas,,PILAR,Petrobras,TERRA,7-PIR-277D-AL,7PIR277DAL,07/04/2015,12/05/2015,16/05/2015,"-09:38:24,528","-35:52:07,143","-09:38:24,977","-35:52:08,261","-09:38:20,266","-35:52:54,129",3080,2900,2250,95.24,0,104.64,SONDA CONVENCIONAL 108
08115028248,Alagoas,,PILAR,Petrobras,TERRA,7-PIR-279D-AL,7PIR279DAL,25/05/2015,31/05/2015,04/06/2015,"-09:35:11,931","-35:53:09,711","-09:35:11,770","-35:53:09,940","-09:35:02,780","-35:53:07,650",1071,1050,820,104.6,0,114,SONDA CONVENCIONAL 108
14030028024,Amazonas,AM-T-84,,Petrobras,TERRA,1-BRSA-1293-AM,1JAN1AM,31/01/2015,10/03/2015,16/05/2015,"-02:49:58,283","-58:31:18,074","-02:49:56,995","-58:31:16,322","-02:49:56,995","-58:31:16,322",2040,1885,1840,66.3,0,72.8,QUEIROZ GALVÃO 03 (QG-03)
14030028128,Amazonas,AM-T-85,,Petrobras,TERRA,1-BRSA-1301-AM,1SIL1AM,24/03/2015,17/05/2015,01/06/2015,"-02:43:47,989","-58:20:08,223","-02:43:46,688","-58:20:06,433","-02:43:46,688","-58:20:06,433",2076,2550,2458.42,102.6,0,107.1,QUEIROZ GALVÃO 04 (QG-04)
74281027998,Campos,C-M-539,,Equinor Energy,MAR,3-REPF-15DA-RJS,Pão de Açúcar A1-ST1,14/01/2015,09/03/2015,16/05/2015,"-23:22:52,603","-40:04:24,302","-23:22:52,620","-40:04:24,330","-23:22:42,110","-40:04:10,020",7045,7082,-6975,0,2812,25,Ocean Rig Mylos
74281028227,Campos,C-M-539,,Equinor Energy,MAR,3-REPF-16D-RJS,Pão de Açúcar A2,23/05/2015,03/10/2015,23/11/2015,"-23:24:29,540","-40:05:11,270","-23:24:29,530","-40:05:11,150","-23:24:35,620","-40:04:51,510",7012,7075,-6950,0,2821.4,25,Ocean Rig Mylos
74281028330,Campos,MLL,MARLIM LESTE,Petrobras,MAR,7-MLL-52HPA-RJS,7MLL52HPARJS,10/06/2015,24/06/2015,24/06/2015,"-22:28:49,774","-39:54:44,480","-22:28:47,967","-39:54:43,072","-22:28:40,550","-39:54:48,920",5050,5740,4300,0,1438,27,ODN DELBA III
74281028569,Campos,MLL,MARLIM LESTE,Petrobras,MAR,7-MLL-59DB-RJS,7MLL59DBRJS,02/11/2015,10/11/2015,10/11/2015,"-22:30:17,068","-39:57:08,546","-22:30:17,070","-39:57:08,550","-02:29:56,790","-39:57:07,060",4550,4983,4550,0,1313,27,ODN DELBA III
74281028381,Campos,,ALBACORA,Petrobras,MAR,3-BRSA-1316-RJS,3AB128RJS,16/08/2015,01/06/2016,17/06/2016,"-22:07:04,426","-39:57:36,829","-22:07:04,427","-39:57:36,829","-22:07:04,447","-39:57:36,911",4683,4833,4805,0,334,28,OLINDA STAR
74281028607,Campos,,ALBACORA,Petrobras,MAR,9-AB-129D-RJS,9AB129DRJS,08/12/2015,21/01/2016,31/01/2016,"-22:04:42,702","-39:52:41,481","-22:04:42,703","-39:52:41,481","-22:04:42,471","-39:53:24,913",3978,3938,3039,0,962,24,NORBE VI
74281028606,Campos,,ALBACORA,Petrobras,MAR,9-AB-131D-RJS,9AB131DRJS,04/12/2015,05/01/2016,13/01/2016,"-22:03:41,155","-39:52:44,554","-22:03:41,123","-39:52:44,520","-22:03:42,950","-39:52:19,720",3153,3155,2720,0,982,19,Noble Dave Beard
74281028110,Campos,,ALBACORA LESTE,Petrobras,MAR,7-ABL-87HP-RJS,7ABL87HPRJS,19/02/2015,04/08/2015,04/08/2015,"-22:06:24,700","-39:51:33,860","-22:06:26,560","-39:51:11,840","-22:06:20,990","-39:50:55,640",3434,3368,2498,0,1095,38,ODN TAY IV
