Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
081150393100,Alagoas,FU,FURADO,Petrobras,TERRA,9-FU-132-AL,9FU 0132 AL,30/01/1998,13/02/1998,13/02/1998,"-09:45:41,679","-36:08:30,251","-09:45:41,679","-36:08:30,251",,,0,160,160,0,0,27,SED Nº 03
081150397000,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-147D-AL,7PIR 0147D AL,25/12/1998,05/01/1999,05/01/1999,"-09:36:27,107","-35:55:18,822","-09:36:27,107","-35:55:18,822",,,,1324,1294.87,,,41,SONDA CONVENCIONAL 91
081150395600,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-148D-AL,7PIR 0148D AL,21/08/1998,22/09/1998,22/09/1998,"-09:35:21,092","-35:53:09,140","-09:35:21,092","-35:53:09,140",,,,2031,1931.45,,,107,SONDA CONVENCIONAL 91
081150395100,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-149-AL,7PIR 0149 AL,18/07/1998,14/08/1998,14/08/1998,"-09:35:20,965","-35:53:09,475","-09:35:20,965","-35:53:09,475",,,,1943,1943,,,107,SONDA CONVENCIONAL 91
081150396800,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-150D-AL,7PIR 0150D AL,09/12/1998,18/12/1998,18/12/1998,"-09:36:17,714","-35:55:57,910","-09:36:17,714","-35:55:57,910",,,,1142.5,1083.41,,,30,SONDA CONVENCIONAL 91
081150394400,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-151D-AL,7PIR 0151D AL,24/10/1998,01/12/1998,01/12/1998,"-09:36:02,135","-35:55:46,638","-09:36:02,135","-35:55:46,638",,,,1441,1381.11,,,78,SONDA CONVENCIONAL 91
081150396200,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-152D-AL,7PIR 0152D AL,29/09/1998,18/10/1998,18/10/1998,"-09:36:26,090","-35:55:32,632","-09:36:26,090","-35:55:32,632",,,,1424,1361.02,,,67,SONDA CONVENCIONAL 91
140300074100,Amazonas,AZU,AZULÃO,Eneva,TERRA,1-RUT-1-AM,1RUT 0001 AM,05/10/1998,18/01/1999,18/01/1999,"-02:44:30,220","-58:10:52,622","-02:44:30,219","-58:10:52,623",,,3478,3478,3478,83,0,88,QUEIROZ GALVÃO 04 (QG-04)
742810232100,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-56DA-RJS,7AB 0056DARJS,02/11/1998,05/11/1998,05/11/1998,"-22:09:25,562","-39:56:13,317","-22:09:25,562","-39:56:13,317",,,2908,2908,2706.89,0,455,22,ALASKAN STAR
742810233700,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-60D-RJS,7AB 0060D RJS,28/12/1998,22/01/1999,22/01/1999,"-22:09:34,754","-39:56:20,780","-22:09:34,754","-39:56:20,780",,,3063,3063,2718.74,,455,25,ALASKAN STAR
742810228700,Campos,AB,ALBACORA,Petrobras,MAR,8-AB-58DA-RJS,8AB 0058DARJS,10/04/1998,03/06/1998,03/06/1998,"-22:08:04,479","-39:59:17,563","-22:08:04,479","-39:59:17,563",,,4239,4239,3271.18,0,294,25,OCEAN WHITTINGTON
742810229500,Campos,AB,ALBACORA,Petrobras,MAR,8-AB-58DB-RJS,8AB 0058DBRJS,14/06/1998,14/07/1998,14/07/1998,"-22:08:04,479","-39:59:17,563","-22:08:04,479","-39:59:17,563",,,4265,4265,3232.89,0,294,25,OCEAN WHITTINGTON
742810230500,Campos,AB,ALBACORA,Petrobras,MAR,8-AB-58DC-RJS,8AB 0058DCRJS,04/08/1998,12/09/1998,12/09/1998,"-22:08:04,479","-39:59:17,563","-22:08:04,479","-39:59:17,563",,,4385,4385,3358.69,0,294,25,OCEAN WHITTINGTON
742810228600,Campos,AB,ALBACORA,Petrobras,MAR,8-AB-58D-RJS,8AB 0058D RJS,08/04/1998,08/04/1998,08/04/1998,"-22:08:04,479","-39:59:17,563","-22:08:04,479","-39:59:17,563",,,391,391,0,0,290,25,OCEAN WHITTINGTON
742810230100,Campos,BC-20,PAPA-TERRA,Petrobras,MAR,1-RJS-529D-RJS,1RJS 0529D RJ,21/07/1998,14/08/1998,14/08/1998,"-23:31:35,445","-41:05:08,567","-23:31:35,445","-41:05:08,567",,,3612,3612,3409.93,0,1226,12,S. C. LANCER
742810229400,Campos,BC-200,,Petrobras,MAR,1-RJS-532-RJ,1RJS 0532 RJ,04/06/1998,08/07/1998,08/07/1998,"-22:55:16,356","-40:19:34,608","-22:55:16,356","-40:19:34,608",,,4468,4468,4467.38,,1768,24,SEDCO 707
742810233600,Campos,BC-30,,Petrobras,MAR,1-RJS-525A-RJ,1RJS 0525A RJ,16/12/1998,15/01/1999,15/01/1999,"-23:16:30,992","-40:48:17,351","-23:16:30,992","-40:48:17,351",,,3603,3603,3602.77,,1752,24,SEDCO 707
742810233400,Campos,BC-30,,Petrobras,MAR,1-RJS-525-RJ,1RJS 0525 RJ,16/12/1998,16/12/1998,16/12/1998,"-23:16:30,439","-40:48:17,382","-23:16:30,439","-40:48:17,382",,,1795,1795,1795,,1760,24,SEDCO 707
742810229700,Campos,BC-30,,Petrobras,MAR,1-RJS-527-RJS,1RJS 0527 RJ,22/06/1998,07/07/1998,07/07/1998,"-23:04:37,145","-40:46:01,176","-23:04:37,145","-40:46:01,176",,,3313,3313,3312.38,0,1110.1,12,S. C. LANCER
742810227000,Campos,BC-50,,Petrobras,MAR,1-RJS-534-RJS,1RJS 0534 RJ,25/01/1998,21/02/1998,21/02/1998,"-21:56:32,756","-39:56:32,099","-21:56:32,756","-39:56:32,099",,,3770,3770,3769.35,0,703,12,S. C. LANCER
742810232400,Campos,BC-600,,Petrobras,MAR,1-RJS-535A-RJS,1RJS 0535A RJ,19/11/1998,20/11/1998,20/11/1998,"-21:49:56,948","-39:40:13,957","-21:49:56,948","-39:40:13,957",,,1975,1968,1968,0,1906,24,SEDCO 707
742810232500,Campos,BC-600,,Petrobras,MAR,1-RJS-535B-RJS,1RJS 0535B RJ,20/11/1998,07/12/1998,07/12/1998,"-21:49:58,091","-39:40:12,847","-21:49:58,091","-39:40:12,847",,,3584,3584,3583.67,0,1906,24,SEDCO 707
742810232200,Campos,BC-600,,Petrobras,MAR,1-RJS-535-RJS,1RJS 0535 RJ,01/11/1998,13/11/1998,13/11/1998,"-21:49:57,467","-39:40:13,855","-21:49:57,467","-39:40:13,855",,,2590,2150,2150,0,1906,24,PARAGON DPDS2 (NOBLE LEO SEGERIUS)
742810229300,Campos,BO,BONITO,Trident Energy,MAR,7-BO-18HPA-RJS,7BO 0018HPARJS,04/06/1998,10/06/1998,10/06/1998,"-22:41:38,332","-40:38:02,356","-22:41:38,332","-40:38:02,356",,,3215,3215,2607.34,0,210,25,PETROBRAS XVII
742810230000,Campos,BO,BONITO,Trident Energy,MAR,7-BO-18HPB-RJS,7BO 0018HPBRJS,19/07/1998,25/07/1998,25/07/1998,"-22:41:38,332","-40:38:02,356","-22:41:38,332","-40:38:02,356",,,3118,3118,2585.71,0,210,25,PETROBRAS XVII
742810229100,Campos,BO,BONITO,Trident Energy,MAR,7-BO-18HP-RJS,7BO 0018HPRJS,06/05/1998,29/05/1998,29/05/1998,"-22:41:38,332","-40:38:02,356","-22:41:38,332","-40:38:02,356",,,3003,3003,2494.8,0,210,25,PETROBRAS XVII
742810231100,Campos,BO,BONITO,Trident Energy,MAR,7-BO-19HPA-RJS,7BO 0019HPARJS,04/09/1998,07/09/1998,07/09/1998,"-22:41:38,332","-40:38:02,356","-22:41:38,332","-40:38:02,356",,,2615,2615,2542.74,0,210,25,PETROBRAS XVII
