Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
140100031800,Acre,Brasil,,,TERRA,1-BT-2-AM,1BT 0002 AM,03/05/1975,20/06/1975,20/06/1975,"-06:55:25,706","-73:09:04,652","-06:55:25,708","-73:09:04,652",,,2790,2790,2790,,,166.69999,
040100032600,Acre,Brasil,,,TERRA,1-RZ-1-AC,1RZ 0001 AC,12/10/1975,28/11/1975,28/11/1975,"-07:31:38,866","-73:10:06,438","-07:31:38,865","-73:10:06,440",,,,2926,2926,,,187,
081160163400,Alagoas,Brasil,,,MAR,1-ALS-11-AL,1ALS 0011 AL,14/08/1975,23/10/1975,23/10/1975,"-10:14:18,829","-36:09:15,599","-10:14:18,829","-36:09:15,599",,,,2553,2553,,12,20.5,
081160162400,Alagoas,Brasil,,,MAR,1-ALS-8-AL,1ALS 0008 AL,24/03/1975,06/07/1975,06/07/1975,"-10:10:08,879","-36:00:38,342","-10:10:08,879","-36:00:38,342",,,,3392,3392,,23,18,
081150088200,Alagoas,Brasil,,,TERRA,1-SA-1-AL,1SA 0001 AL,21/02/1975,02/07/1975,02/07/1975,"-09:33:46,228","-35:49:12,390","-09:33:46,228","-35:49:12,390",,,,3127,3127,,,60,SONDA CONVENCIONAL 50
081150055900,Alagoas,Brasil,,,TERRA,9-MINA-1-AL,9MINA0001 AL,04/01/1975,08/02/1975,08/02/1975,"-09:38:11,010","-35:44:53,869","-09:38:11,010","-35:44:53,869",,,,1038,1038,,,6,
081150056500,Alagoas,Brasil,,,TERRA,9-MINA-4A-AL,9MINA0004A AL,01/01/1975,15/03/1975,15/03/1975,"-09:38:02,227","-35:44:57,155","-09:38:02,227","-35:44:57,155",,,,1080,1080,,,6,
081150057000,Alagoas,Brasil,,,TERRA,9-MINA-5-AL,9MINA0005 AL,01/01/1975,15/05/1975,15/05/1975,"-09:38:09,817","-35:44:58,717","-09:38:09,817","-35:44:58,717",,,,1115,1115,,,6,
081150088300,Alagoas,FU,FURADO,Petrobras,TERRA,4-FU-21-AL,4FU 0021 AL,24/02/1975,09/04/1975,09/04/1975,"-09:46:23,837","-36:10:20,786","-09:46:23,837","-36:10:20,786",,,,2259,2259,,,137,SONDA CONVENCIONAL 40
081150088400,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-22-AL,7FU 0022 AL,24/02/1975,24/03/1975,24/03/1975,"-09:46:11,307","-36:07:43,137","-09:46:11,307","-36:07:43,137",,,,1880,1880,,,21,SONDA CONVENCIONAL 41
081150089100,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-23-AL,7FU 0023 AL,13/04/1975,20/05/1975,20/05/1975,"-09:45:54,821","-36:07:17,224","-09:45:54,821","-36:07:17,224",,,,1895,1895,,,69,SONDA CONVENCIONAL 41
081150089800,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-24-AL,7FU 0024 AL,13/08/1975,17/09/1975,17/09/1975,"-09:46:23,657","-36:07:44,106","-09:46:23,657","-36:07:44,106",,,,1884,1884,,,18,SONDA CONVENCIONAL 41
