Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
040100013200,Acre,Brasil,,,TERRA,2-CDST-1-AC,2CDST0001 AC,17/03/1961,12/07/1961,12/07/1961,"-07:43:36,844","-72:38:48,456","-07:43:36,845","-72:38:48,457",,,,2653.7,2653.7,,,216,SONDA CONVENCIONAL 23
081150008700,Alagoas,Brasil,,,TERRA,1-BSM-2-AL,1BSM 0002 AL,27/08/1961,09/11/1961,09/11/1961,"-09:49:51,156","-35:54:49,329","-09:49:51,156","-35:54:49,329",,,,2577,2577,,,73,SONDA CONVENCIONAL 59
081150008300,Alagoas,Brasil,,,TERRA,2-LMST-1-AL,2LMST0001 AL,13/05/1961,06/08/1961,06/08/1961,"-09:40:50,875","-35:57:57,815","-09:40:50,875","-35:57:57,815",,,,3000,3000,,,117,SONDA CONVENCIONAL 59
081150007700,Alagoas,Brasil,,,TERRA,2-RSST-1-AL,2RSST0001 AL,30/01/1961,10/03/1961,10/03/1961,"-09:54:29,748","-36:05:28,755","-09:54:29,748","-36:05:28,755",,,,1484.1,1484.1,,,89,SONDA CONVENCIONAL 59
081150008200,Alagoas,Brasil,,,TERRA,2-SJST-1-AL,2SJST0001 AL,18/03/1961,22/04/1961,22/04/1961,"-09:56:22,413","-36:03:42,631","-09:56:22,413","-36:03:42,631",,,,1760.5,1760.5,,,72,SONDA CONVENCIONAL 59
081150007900,Alagoas,JA,JEQUIÁ,Petrosynergy,TERRA,7-JA-11-AL,7JA 0011 AL,02/03/1961,30/03/1961,30/03/1961,"-09:53:24,845","-35:59:17,857","-09:53:24,845","-35:59:17,857",,,,1245,1245,,,20,SONDA CONVENCIONAL 61
081150008400,Alagoas,PIA_OP,Piaçabuçu,Perícia,TERRA,3-PIA-2-AL,3PIA 0002 AL,15/05/1961,21/07/1961,21/07/1961,"-10:24:15,306","-36:23:35,396","-10:24:15,306","-36:23:35,396",,,0,2638,2638,0,0,8,SONDA CONVENCIONAL 40
081150008500,Alagoas,,PIAÇABUÇU,,TERRA,3-PIA-3-AL,3PIA 0003 AL,13/06/1961,09/07/1961,09/07/1961,"-10:23:05,621","-36:21:53,660","-10:23:05,621","-36:21:53,660",,,0,1199.5,1199.5,0,0,10,SONDA CONVENCIONAL 62
081150009100,Alagoas,,PIAÇABUÇU,,TERRA,3-PIA-6-AL,3PIA 0006 AL,18/10/1961,09/11/1961,09/11/1961,"-10:24:12,986","-36:21:57,904","-10:24:12,986","-36:21:57,904",,,0,1200,1200,0,0,11,SONDA CONVENCIONAL 62
081150009600,Alagoas,,PIAÇABUÇU,,TERRA,3-PIA-8-AL,3PIA 0008 AL,16/12/1961,07/01/1962,07/01/1962,"-10:24:15,508","-36:23:47,821","-10:24:15,508","-36:23:47,821",,,0,750,750,0,0,11,SONDA CONVENCIONAL 62
081150008800,Alagoas,,PIAÇABUÇU,,TERRA,4-PIA-4-AL,4PIA 0004 AL,30/08/1961,30/10/1961,30/10/1961,"-10:23:49,235","-36:24:34,541","-10:23:49,235","-36:24:34,541",,,0,2424,2424,0,0,10,SONDA CONVENCIONAL 40
081150009300,Alagoas,,PIAÇABUÇU,,TERRA,4-PIA-7-AL,4PIA 0007 AL,25/11/1961,06/01/1962,06/01/1962,"-10:25:03,251","-36:21:40,874","-10:25:03,251","-36:21:40,874",,,0,1987,1987,0,0,9,SONDA CONVENCIONAL 40
140300014600,Amazonas,Brasil,,,TERRA,1-AM-13-AM,1AM 0013 AM,18/12/1961,14/03/1962,14/03/1962,"-03:13:31,814","-59:47:16,552","-03:13:31,815","-59:47:16,550",,,1636.9,1636.9,1636.9,,,26,SONDA CONVENCIONAL 44
140300014200,Amazonas,Brasil,,,TERRA,1-LG-1-AM,1LG 0001 AM,19/09/1961,23/11/1961,23/11/1961,"-03:16:31,290","-59:41:21,383","-03:16:31,290","-59:41:21,384",,,1441.4,1441.4,1441.4,,,21.29999,
140300013300,Amazonas,Brasil,,,TERRA,1-RX-3-AM,1RX 0003 AM,01/04/1961,21/08/1961,21/08/1961,"-04:22:47,190","-58:15:31,027","-04:22:47,190","-58:15:31,026",,,2745.2,2745.2,2745.2,,,36,SONDA CONVENCIONAL 35
140300014500,Amazonas,Brasil,,,TERRA,1-RX-4-AM,1RX 0004 AM,04/10/1961,27/06/1962,27/06/1962,"-04:21:49,277","-58:07:49,106","-04:21:49,277","-58:07:49,105",,,2547.8,2547.8,2547.8,,,52,SONDA CONVENCIONAL 35
140300014100,Amazonas,Brasil,,,TERRA,2-AAST-1-AM,2AAST0001 AM,13/08/1961,13/11/1961,13/11/1961,"-04:55:16,489","-60:18:30,151","-04:55:16,491","-60:18:30,153",,,1529,1529,1529,,,41,SONDA CONVENCIONAL 44
600300014400,Amazonas,Brasil,,,TERRA,2-CPST-2-PA,2CPST0002 PA,30/09/1961,20/11/1961,20/11/1961,"-03:43:49,459","-55:24:09,312","-03:43:49,459","-55:24:09,312",,,989.7,989.7,989.7,,,32.79999,SONDA CONVENCIONAL 33
600300014300,Amazonas,Brasil,,,TERRA,2-JCST-1-PA,2JCST0001 PA,20/09/1961,29/01/1962,29/01/1962,"-02:44:20,379","-52:56:29,802","-02:44:20,378","-52:56:29,801",,,1957.6,1957.6,1957.6,,,15.19999,
140300013600,Amazonas,Brasil,,,TERRA,2-JUST-1-AM,2JUST0001 AM,14/05/1961,17/08/1961,17/08/1961,"-01:53:11,385","-58:23:31,677","-01:53:11,385","-58:23:31,676",,,1330.3,1330.3,1330.3,,,22,
600300013800,Amazonas,Brasil,,,TERRA,2-OAST-1-PA,2OAST0001 PA,21/06/1961,26/02/1962,26/02/1962,"-01:44:21,358","-55:52:49,383","-01:44:21,357","-55:52:49,383",,,3096.4,3096.4,3096.4,,,31,SONDA CONVENCIONAL 26
140300013500,Amazonas,Brasil,,,TERRA,2-PEST-2-AM,2PEST0002 AM,13/05/1961,18/08/1961,18/08/1961,"-02:52:18,425","-59:33:47,819","-02:52:18,424","-59:33:47,820",,,1757.2,1757.2,1757.2,,,28,SONDA CONVENCIONAL 31
600300013700,Amazonas,Brasil,,,TERRA,2-RPST-1-PA,2RPST0001 PA,05/06/1961,31/08/1961,31/08/1961,"-01:07:32,249","-53:03:31,793","-01:07:32,248","-53:03:31,792",,,1664.1,1664.1,1664.1,,,9.19999,SONDA CONVENCIONAL 33
140300013400,Amazonas,Brasil,,,TERRA,2-RUST-1-AM,2RUST0001 AM,16/04/1961,29/06/1961,29/06/1961,"-04:36:03,684","-59:25:36,509","-04:36:03,685","-59:25:36,511",,,1646,1646,1646,,,46,SONDA CONVENCIONAL 44
500800013900,Barreirinhas,Brasil,,,TERRA,2-TAST-1-MA,2TAST0001 MA,22/06/1961,16/08/1962,16/08/1962,"-02:51:31,642","-42:17:06,218","-02:51:31,641","-42:17:06,217",,,3496.6,3496.6,3496.6,,,18.7,SONDA CONVENCIONAL 30
202450124600,Camamu,MB,MORRO DO BARRO,Panergy,TERRA,1-MB-1-BA,1MB 0001 BA,28/12/1961,22/04/1962,22/04/1962,"-13:03:17,828","-38:44:56,457","-13:03:17,828","-38:44:56,457",,,1995.6,1995.6,1993.07,0,0,17.1,SONDA CONVENCIONAL 38
202600135500,Mucuri,Brasil,,,TERRA,2-SBST-1-BA,2SBST0001 BA,16/01/1961,25/09/1961,25/09/1961,"-17:57:48,788","-38:42:20,926","-17:57:48,788","-38:42:20,926",,,1398.3,1398.3,1398.3,,,38,SONDA CONVENCIONAL 53
543150704300,Pantanal,Brasil,,,TERRA,2-CA-1-MT,2CA 0001 MT,10/09/1961,22/09/1961,22/09/1961,"-16:05:28,675","-57:47:34,533","-16:05:28,675","-57:47:34,533",,,86.6,86.6,86.6,,,161,
563150704800,Pantanal,Brasil,,,TERRA,2-FF-1-MS,2FF 0001 MS,23/11/1961,30/11/1961,30/11/1961,"-19:08:45,005","-56:57:45,483","-19:08:45,005","-56:57:45,483",,,182,182,182,,,121,
543150704500,Pantanal,Brasil,,,TERRA,2-PI-1-MT,2PI 0001 MT,30/09/1961,02/10/1961,02/10/1961,"-16:44:47,730","-57:36:50,486","-16:44:47,730","-57:36:50,486",,,88,88,88,,,151,
543150691800,Pantanal,Brasil,,,TERRA,2-SS-1-MT,2SS 0001 MT,08/11/1961,31/01/1962,31/01/1962,"-17:20:33,798","-56:47:28,519","-17:20:33,798","-56:47:28,519",,,302.4,302.4,302.4,,,151,
643000691700,Paraná,Brasil,,,TERRA,1-MO-1-PR,1MO 0001 PR,25/04/1961,26/09/1961,26/09/1961,"-24:22:25,008","-50:52:36,967","-24:22:25,008","-50:52:36,967",,,2017.5,2017.5,2017.5,,,816,SONDA CONVENCIONAL 42
643000704600,Paraná,Brasil,,,TERRA,1-MO-2-PR,1MO 0002 PR,07/11/1961,30/03/1962,30/03/1962,"-24:26:09,677","-50:52:38,410","-24:26:09,677","-50:52:38,410",,,1991.7,1991.7,1991.7,,,816,SONDA CONVENCIONAL 42
823000704900,Paraná,Brasil,,,TERRA,1-TV-2-SC,1TV 0002 SC,08/12/1961,28/08/1962,28/08/1962,"-26:44:10,773","-51:17:52,292","-26:44:10,773","-51:17:52,292",,,2965.7,2965.7,2965.7,,,1136.5,SONDA CONVENCIONAL 16
563000703700,Paraná,Brasil,,,TERRA,2-AM-1-MS,2AM 0001 MS,30/03/1961,03/01/1962,03/01/1962,"-23:06:36,650","-55:14:14,457","-23:06:36,650","-55:14:14,457",,,3371,3371,3371,,,554,SONDA CONVENCIONAL 29
