Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
081150114400,Alagoas,Brasil,FAZENDA RIACHUELO,,TERRA,3-FRIA-4-AL,3FRIA0004 AL,02/02/1978,26/03/1978,26/03/1978,"-09:50:25,088","-36:12:54,722","-09:50:25,088","-36:12:54,722",,,,2180,2180,,,125,SONDA CONVENCIONAL 40
081150113500,Alagoas,Brasil,,,TERRA,1-RCE-1-AL,1RCE 0001 AL,04/01/1978,13/04/1978,13/04/1978,"-10:08:34,921","-36:11:50,517","-10:08:34,921","-36:11:50,517",,,,2525,2525,,,20,SONDA CONVENCIONAL 41
081150115700,Alagoas,CSM,CIDADE DE SÃO MIGUEL DOS CAMPOS,Petrobras,TERRA,3-CSMC-8-AL,3CSMC0008 AL,28/03/1978,29/05/1978,29/05/1978,"-09:48:35,112","-36:07:35,385","-09:48:35,112","-36:07:35,385",,,,2665,2665,,,125,SONDA CONVENCIONAL 26
081150120500,Alagoas,CSM,CIDADE DE SÃO MIGUEL DOS CAMPOS,Petrobras,TERRA,5-CSMC-9-AL,5CSMC0009 AL,27/08/1978,06/09/1978,06/09/1978,"-09:48:34,550","-36:07:34,552","-09:48:34,550","-36:07:34,552",,,,497,497,,,124,SONDA CONVENCIONAL 74
081150124900,Alagoas,FU,FURADO,Petrobras,TERRA,3-FU-53-AL,3FU 0053 AL,26/12/1978,08/03/1979,08/03/1979,"-09:47:18,007","-36:11:25,593","-09:47:18,007","-36:11:25,593",,,,2765,2765,,,127,SONDA CONVENCIONAL 41
081150119300,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-48-AL,7FU 0048 AL,28/07/1978,08/09/1978,08/09/1978,"-09:45:25,210","-36:08:04,651","-09:45:25,210","-36:08:04,651",,,,2001,2001,,,71,SONDA CONVENCIONAL 40
081150120000,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-49-AL,7FU 0049 AL,19/08/1978,02/10/1978,02/10/1978,"-09:46:18,712","-36:07:41,846","-09:46:18,712","-36:07:41,846",,,,1870,1870,,,20,SONDA CONVENCIONAL 41
081150121400,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-50-AL,7FU 0050 AL,24/09/1978,30/10/1978,30/10/1978,"-09:45:04,698","-36:07:55,350","-09:45:04,698","-36:07:55,350",,,,1778,1778,,,133,SONDA CONVENCIONAL 40
081150122000,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-51-AL,7FU 0051 AL,11/10/1978,13/12/1978,13/12/1978,"-09:45:29,900","-36:08:51,641","-09:45:29,900","-36:08:51,641",,,,1663,1663,,,63,SONDA CONVENCIONAL 41
081150123500,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-52-AL,7FU 0052 AL,10/11/1978,23/12/1978,23/12/1978,"-09:45:17,678","-36:07:40,751","-09:45:17,678","-36:07:40,751",,,,1830,1830,,,134,SONDA CONVENCIONAL 40
081150118400,Alagoas,PIR,PILAR,Petrobras,TERRA,1-NEP-2-AL,1NEP 0002 AL,03/07/1978,11/02/1979,11/02/1979,"-09:34:10,752","-35:55:01,749","-09:34:10,752","-35:55:01,749",,,0,2664,2664,0,0,122,SONDA CONVENCIONAL 50
081150116200,Alagoas,SMC,SÃO MIGUEL DOS CAMPOS,Petrobras,TERRA,4-SMC-15-AL,4SMC 0015 AL,18/04/1978,02/07/1978,02/07/1978,"-09:52:11,809","-36:08:07,702","-09:52:11,809","-36:08:07,702",,,,2727,2727,,,111,SONDA CONVENCIONAL 40
081150116800,Alagoas,SMC,SÃO MIGUEL DOS CAMPOS,Petrobras,TERRA,7-SMC-16-AL,7SMC 0016 AL,08/05/1978,01/08/1978,01/08/1978,"-09:50:27,333","-36:06:15,252","-09:50:27,333","-36:06:15,252",,,,2723,2723,,,106.3,SONDA CONVENCIONAL 41
202650318000,Almada,Brasil,,,TERRA,1-NB-2-BA,1NB 0002 BA,18/07/1978,12/08/1978,12/08/1978,"-14:37:42,116","-39:04:18,724","-14:37:42,116","-39:04:18,724",,,1245.5,1245.5,1245.5,,,7.59999,SONDA CONVENCIONAL 27
742810017400,Campos,BG,BAGRE,Petrobras,MAR,1-RJS-60-RJS,1RJS 0060 RJ,15/04/1978,07/07/1978,07/07/1978,"-22:24:19,563","-40:27:08,470","-22:24:19,563","-40:27:08,470",,,3700,3700,3700,0,118,15,
742810017800,Campos,BG,BAGRE,Petrobras,MAR,1-RJS-61-RJS,1RJS 0061 RJ,13/05/1978,12/07/1978,12/07/1978,"-22:25:52,376","-40:27:46,827","-22:25:52,376","-40:27:46,827",,,3578,3578,3578,0,118,19,
742810015700,Campos,BO,BONITO,Trident Energy,MAR,1-RJS-45-RJS,1RJS 0045 RJ,22/01/1978,02/03/1978,02/03/1978,"-22:41:54,448","-40:36:04,148","-22:41:54,448","-40:36:04,148",,,3282,3282,3282,0,284,32,
742810016500,Campos,Brasil,,,MAR,1-RJS-47A-RJ,1RJS 0047A RJ,08/03/1978,14/03/1978,14/03/1978,"-22:34:48,824","-40:43:24,629","-22:34:48,824","-40:43:24,629",,,200,200,200,,102.9,15.5,
742810016700,Campos,Brasil,,,MAR,1-RJS-47B-RJ,1RJS 0047B RJ,17/03/1978,17/03/1978,17/03/1978,"-22:34:48,824","-40:43:24,629","-22:34:48,824","-40:43:24,629",,,190,190,190,,102.9,15.5,
742810016800,Campos,Brasil,,,MAR,1-RJS-47C-RJ,1RJS 0047C RJ,22/03/1978,22/03/1978,22/03/1978,"-22:34:48,824","-40:43:24,629","-22:34:48,824","-40:43:24,629",,,197,197,197,,102.9,15.5,
742810016900,Campos,Brasil,,,MAR,1-RJS-47E-RJ,1RJS 0047E RJ,23/03/1978,28/07/1978,28/07/1978,"-22:34:46,929","-40:43:25,689","-22:34:46,929","-40:43:25,689",,,3820,3820,3820,,105,15,
742810016300,Campos,Brasil,,,MAR,1-RJS-47-RJ,1RJS 0047 RJ,03/03/1978,05/03/1978,05/03/1978,"-22:34:48,483","-40:43:26,163","-22:34:48,483","-40:43:26,163",,,190,190,190,,102.9,15.5,
742810016600,Campos,Brasil,,,MAR,1-RJS-56-RJ,1RJS 0056 RJ,13/03/1978,07/07/1978,07/07/1978,"-21:35:39,402","-40:23:13,710","-21:35:39,402","-40:23:13,710",,,5000,5000,5000,,32,28,
742810016400,Campos,Brasil,,,MAR,1-RJS-57-RJ,1RJS 0057 RJ,04/03/1978,23/05/1978,23/05/1978,"-21:29:37,988","-40:32:41,376","-21:29:37,988","-40:32:41,376",,,4202,4202,4202,,28,26,
742810018100,Campos,Brasil,,,MAR,1-RJS-58-RJ,1RJS 0058 RJ,01/06/1978,09/08/1978,09/08/1978,"-21:36:15,445","-40:38:09,017","-21:36:15,445","-40:38:09,017",,,3796,3796,3796,,24,26,
742810021200,Campos,Brasil,,,MAR,1-RJS-68-RJ,1RJS 0068 RJ,30/11/1978,14/01/1979,14/01/1979,"-22:58:21,664","-41:00:40,438","-22:58:21,664","-41:00:40,438",,,2673,2673,2673,,98,10,
742810021300,Campos,Brasil,,,MAR,1-RJS-69-RJ,1RJS 0069 RJ,02/12/1978,31/12/1978,31/12/1978,"-22:30:36,906","-40:59:39,478","-22:30:36,906","-40:59:39,478",,,2300,2300,2300,,57,24,
742810021700,Campos,Brasil,,,MAR,1-RJS-70-RJ,1RJS 0070 RJ,28/12/1978,28/01/1979,28/01/1979,"-22:13:50,086","-40:59:45,026","-22:13:50,086","-40:59:45,026",,,2355,2355,2355,,39,25,
742810019500,Campos,Brasil,,,MAR,1-RJS-71-RJ,1RJS 0071 RJ,24/08/1978,30/10/1978,30/10/1978,"-22:19:02,752","-40:55:56,251","-22:19:02,752","-40:55:56,251",,,3508,3508,3508,,54,28,
742810020100,Campos,Brasil,,,MAR,1-RJS-79-RJ,1RJS 0079 RJ,01/10/1978,26/11/1978,26/11/1978,"-21:31:29,772","-40:30:49,062","-21:31:29,772","-40:30:49,062",,,3773,3773,3773,,26,26,
742810020900,Campos,Brasil,,,MAR,1-RJS-82-RJ,1RJS 0082 RJ,13/11/1978,06/12/1978,06/12/1978,"-21:49:26,446","-40:48:32,567","-21:49:26,446","-40:48:32,567",,,2289,2289,2289,,24.1,24.79999,
742810021600,Campos,Brasil,,,MAR,1-RJS-84-RJ,1RJS 0084 RJ,08/12/1978,19/01/1979,19/01/1979,"-22:25:24,229","-40:30:17,889","-22:25:24,229","-40:30:17,889",,,3337,3337,3337,,115,12,
742810017300,Campos,CH,CHERNE,Petrobras,MAR,3-RJS-59-RJ,3RJS 0059 RJ,14/03/1978,20/04/1978,20/04/1978,"-22:28:24,699","-40:28:09,385","-22:28:24,699","-40:28:09,385",,,3256,3256,3256,,149.6,31.39999,
742810020200,Campos,CH,CHERNE,Petrobras,MAR,3-RJS-80-RJ,3RJS 0080 RJ,02/10/1978,22/11/1978,22/11/1978,"-22:26:42,291","-40:28:43,314","-22:26:42,291","-40:28:43,314",,,3170,3170,3170,,121,31,
742810019000,Campos,CO,CORVINA,Petrobras,MAR,1-RJS-54-RJ,1RJS 0054 RJ,11/07/1978,21/08/1978,21/08/1978,"-22:34:13,852","-40:30:22,196","-22:34:13,852","-40:30:22,196",,,3496,3496,3496,,254,31,
742810022000,Campos,CO,CORVINA,Petrobras,MAR,1-RJS-83-RJS,1RJS 0083 RJ,29/12/1978,12/02/1979,12/02/1979,"-22:30:17,087","-40:32:25,804","-22:30:17,087","-40:32:25,804",,,3250,3250,3250,0,124,26,
742810017000,Campos,EN,ENCHOVA,Trident Energy,MAR,1-RJS-44-RJS,1RJS 0044 RJ,26/03/1978,30/04/1978,30/04/1978,"-22:36:47,577","-40:39:27,780","-22:36:47,577","-40:39:27,780",,,2804,2804,2804,0,118,18,
742810018400,Campos,EN,ENCHOVA,Trident Energy,MAR,3-EN-5D-RJS,3EN 0005D RJS,23/06/1978,12/09/1978,12/09/1978,"-22:41:06,000","-40:40:59,881","-22:41:06,000","-40:40:59,881",,,3052,3052,2777.83,,112,28,
742810017200,Campos,ENO,ENCHOVA OESTE,Trident Energy,MAR,1-RJS-41-RJS,1RJS 0041 RJ,30/03/1978,26/05/1978,26/05/1978,"-22:41:44,921","-40:43:04,991","-22:41:44,921","-40:43:04,991",,,3550,3550,3550,0,108,27,
