Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
202400009900,Recôncavo,Brasil,,,TERRA,1-F-1-BA,1F 0001 BA,19/10/1946,25/02/1947,25/02/1947,"-12:47:11,387","-38:37:23,624","-12:47:11,387","-38:37:23,624",,,1508.2,1508.2,1508.2,,,6,SONDA CONVENCIONAL 5
202400008800,Recôncavo,C,CANDEIAS,Petrobras,TERRA,7-C-15-BA,7C 0015 BA,09/06/1946,06/11/1946,06/11/1946,"-12:39:53,182","-38:33:15,151","-12:39:53,182","-38:33:15,151",,,1703.6,1703.6,1703.6,,,56.59999,SONDA CONVENCIONAL 7
202400008500,Recôncavo,C,CANDEIAS,Petrobras,TERRA,7-C-22-BA,7C 0022 BA,25/03/1946,07/05/1946,07/05/1946,"-12:40:51,819","-38:33:16,297","-12:40:51,819","-38:33:16,297",,,1023.2,1023.2,1023.2,,,23,SONDA CONVENCIONAL 3
202400008300,Recôncavo,C,CANDEIAS,Petrobras,TERRA,7-C-24-BA,7C 0024 BA,20/02/1946,07/05/1946,07/05/1946,"-12:40:01,047","-38:32:53,718","-12:40:01,047","-38:32:53,718",,,1267,1267,1267,,,48.79999,
202400009000,Recôncavo,C,CANDEIAS,Petrobras,TERRA,7-C-25-BA,7C 0025 BA,17/06/1946,22/07/1946,22/07/1946,"-12:40:25,400","-38:33:27,974","-12:40:25,400","-38:33:27,974",,,853.4,853.4,853.4,,,18.1,SONDA CONVENCIONAL 3
202400009300,Recôncavo,C,CANDEIAS,Petrobras,TERRA,7-C-26-BA,7C 0026 BA,15/08/1946,05/09/1946,05/09/1946,"-12:40:37,039","-38:33:32,502","-12:40:37,039","-38:33:32,502",,,772.6,772.6,772.6,,,12.8,SONDA CONVENCIONAL 3
202400010000,Recôncavo,C,CANDEIAS,Petrobras,TERRA,7-C-27-BA,7C 0027 BA,04/11/1946,30/11/1946,30/11/1946,"-12:39:40,314","-38:33:23,002","-12:39:40,314","-38:33:23,002",,,992,992,992,,,53.9,SONDA CONVENCIONAL 7
202400009500,Recôncavo,C,CANDEIAS,Petrobras,TERRA,7-C-28-BA,7C 0028 BA,19/09/1946,01/10/1946,01/10/1946,"-12:40:45,985","-38:33:34,460","-12:40:45,985","-38:33:34,460",,,788,788,788,,,12.5,SONDA CONVENCIONAL 3
202400010500,Recôncavo,C,CANDEIAS,Petrobras,TERRA,7-C-29-BA,7C 0029 BA,10/12/1946,10/01/1947,10/01/1947,"-12:39:31,237","-38:33:25,908","-12:39:31,237","-38:33:25,908",,,1127.8,1127.8,1127.8,,,48.5,SONDA CONVENCIONAL 7
202400009700,Recôncavo,C,CANDEIAS,Petrobras,TERRA,7-C-34-BA,7C 0034 BA,12/10/1946,01/11/1946,01/11/1946,"-12:40:57,783","-38:33:24,551","-12:40:57,783","-38:33:24,551",,,887,887,887,,,8.6,SONDA CONVENCIONAL 5
