Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
08115024013,Alagoas,BT-SEAL-2,ANAMBÉ,Petrobras,TERRA,7-ANB-10D-AL,7ANB10DAL,04/07/2009,23/07/2009,27/07/2009,"-09:44:37,902","-36:03:24,620","-09:44:37,726","-36:03:24,884",,,0,1800,1500,112.27,0,118,GREAT - 125
08115024108,Alagoas,BT-SEAL-2,ANAMBÉ,Petrobras,TERRA,7-ANB-11-AL,7ANB11AL,09/08/2009,07/09/2009,,"-09:44:45,165","-36:03:29,637","-09:44:44,010","-36:03:28,748",,,0,2200,2090,112.61,0,119,GREAT - 125
08115024214,Alagoas,BT-SEAL-2,ANAMBÉ,Petrobras,TERRA,7-ANB-12D-AL,7ANB12DAL,24/09/2009,14/10/2009,,"-09:44:27,431","-36:03:58,607","-09:44:27,465","-36:03:58,639",,,0,1850,1570,115.61,0,122,DRILLFOR-07
08115023853,Alagoas,BT-SEAL-2,ANAMBÉ,Petrobras,TERRA,7-ANB-8D-AL,7ANB8DAL,19/04/2009,08/06/2009,13/06/2009,"-09:44:29,691","-36:03:34,001","-09:44:29,727","-36:03:34,395","-09:44:27,927","-36:03:28,048",2303,2300,2070,113.18,0,121,SONDA DE PERFURAÇÃO PREST 10
08115023910,Alagoas,BT-SEAL-2,ANAMBÉ,Petrobras,TERRA,7-ANB-9-AL,7ANB9AL,18/05/2009,17/06/2009,22/06/2009,"-09:44:37,902","-36:03:24,620","-09:44:37,916","-36:03:24,374","-09:44:38,075","-36:03:24,618",2317,2230,2090,112.27,0,118,GREAT - 125
08115024249,Alagoas,BT-SEAL-2,MUTUM,Petrobras,TERRA,5-BRSA-774-AL,5MUT1AL,15/10/2009,15/12/2009,22/12/2009,"-09:43:26,894","-36:56:18,513","-09:43:27,050","-35:56:18,491","-09:43:27,050","-35:56:18,491",3164,2020,2000,99,0,108,SONDA CONVENCIONAL 109
08115023750,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-147D-AL,7FU147DAL,05/03/2009,03/05/2009,08/05/2009,"-09:46:31,457","-36:08:16,524","-09:46:30,837","-36:08:16,267","-09:46:29,420","-36:08:14,115",1845,1800,1650,26.42,0,33,GREAT - 125
08115023747,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-151D-AL,7FU151DAL,03/03/2009,10/05/2009,15/05/2009,"-09:47:08,643","-36:07:58,894","-09:47:09,638","-36:07:59,246","-09:46:58,734","-36:07:52,323",2310,2200,2050,121.94,0,128.56,DRILLFOR-07
08115024086,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-153D-AL,7FU153DAL,06/08/2009,12/09/2009,14/09/2009,"-09:45:54,662","-36:07:17,450","-09:45:53,138","-36:07:16,215","-09:45:59,156","-36:07:17,604",2040,2250,2125,64.98,0,71,DRILLFOR-07
08115024310,Alagoas,FU,FURADO,Petrobras,TERRA,7-FU-154D-AL,7FU154DAL,04/11/2009,09/12/2009,13/12/2009,"-10:39:54,083","-36:07:35,802","-09:45:41,888","-36:08:04,523",,,0,2300,1985,14.63,0,21,GREAT - 125
